大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
403830001000,波津,33.886727,130.564556,1,1
403830002000,原,33.876568,130.570011,1,1
403830003000,内浦,33.872134,130.574537,1,1
403830004000,手野,33.869088,130.581443,1,1
403830005000,三吉,33.865607,130.592603,1,1
403830006000,吉木,33.864717,130.608736,1,1
403830007000,高倉,33.850438,130.600899,1,1
403830008000,黒山,33.867990,130.623004,1,1
403830009000,糠塚,33.872413,130.638774,1,1
403830010000,山田,33.854580,130.632952,1,1
403830011000,野間,33.845304,130.613472,1,1
403830012000,戸切,33.835670,130.633487,1,1
403830013000,海老津,33.838000,130.619221,1,1
403830014000,上畑,33.828602,130.598723,1,1
403830015001,山田峠一丁目,33.851147,130.635697,1,3
403830015002,山田峠二丁目,33.852302,130.636262,1,3
403830016001,鍋田一丁目,33.848265,130.634439,1,3
403830016002,鍋田二丁目,33.847022,130.634700,1,3
403830017001,東高陽一丁目,33.844552,130.636461,1,3
403830017002,東高陽二丁目,33.846095,130.637353,1,3
403830017003,東高陽三丁目,33.846749,130.638734,1,3
403830018000,南高陽,33.842503,130.634633,1,1
403830019001,松ケ台一丁目,33.860691,130.620566,1,3
403830019002,松ケ台二丁目,33.862121,130.620972,1,3
403830019003,松ケ台三丁目,33.863700,130.624107,1,3
403830019004,松ケ台四丁目,33.861922,130.625949,1,3
403830019005,松ケ台五丁目,33.860261,130.624496,1,3
403830020001,公園通り一丁目,33.849964,130.609706,1,3
403830020002,公園通り二丁目,33.850702,130.607655,1,3
403830020003,公園通り三丁目,33.851731,130.605937,1,3
403830021001,東松原一丁目,33.843179,130.626329,1,3
403830021002,東松原二丁目,33.844548,130.627411,1,3
403830021003,東松原三丁目,33.843708,130.629490,1,3
403830022001,百合ヶ丘一丁目,33.845649,130.628835,1,3
403830022002,百合ヶ丘二丁目,33.847169,130.630133,1,3
403830023001,高陽台一丁目,33.841192,130.627660,1,3
403830023002,高陽台二丁目,33.841265,130.629900,1,3
403830023003,高陽台三丁目,33.843997,130.632914,1,3
403830024001,旭台一丁目,33.855246,130.617125,1,3
403830024002,旭台二丁目,33.855800,130.619615,1,3
403830024003,旭台三丁目,33.858241,130.620927,1,3
403830024004,旭台四丁目,33.856926,130.622847,1,3
403830024005,旭台五丁目,33.855569,130.622785,1,3
403830025000,旭南,33.852534,130.624745,1,1
403830026000,桜台,33.850924,130.623300,1,1
403830027001,東山田一丁目,33.849159,130.627140,1,3
403830027002,東山田二丁目,33.849359,130.632802,1,3
403830028001,中央台一丁目,33.850162,130.620719,1,3
403830028002,中央台二丁目,33.847017,130.619334,1,3
403830028003,中央台三丁目,33.846880,130.622280,1,3
403830028004,中央台四丁目,33.844740,130.620980,1,3
403830028005,中央台五丁目,33.843994,130.618860,1,3
403830028006,中央台六丁目,33.847266,130.616084,1,3
403830029000,海老津駅前,33.841078,130.624377,1,1
403830030001,野間一丁目,33.853220,130.611530,1,3
403830030002,野間二丁目,33.850844,130.615435,1,3
403830030003,野間三丁目,33.854610,130.614076,1,3
403830030004,野間四丁目,33.853013,130.617867,1,3
403830030005,野間五丁目,33.853593,130.618677,1,3
403830031001,東高倉一丁目,33.847207,130.611215,1,3
403830031002,東高倉二丁目,33.845100,130.611293,1,3
403830032001,海老津駅南一丁目,33.839652,130.625033,1,3
403830032002,海老津駅南二丁目,33.840152,130.630686,1,3
403830032003,海老津駅南三丁目,33.838948,130.630481,1,3
403830033001,吉木東一丁目,33.857260,130.607207,1,3
403830033002,吉木東二丁目,33.858456,130.608725,1,3
403830034001,吉木西一丁目,33.859556,130.602706,1,3
403830034002,吉木西二丁目,33.861387,130.602495,1,3
403830035001,海老津一丁目,33.842049,130.617814,0,3
403830035002,海老津二丁目,33.839223,130.619088,0,3
403830035003,海老津三丁目,33.839418,130.613964,0,3
403830036000,野間南,33.845152,130.614488,0,1
