大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
064010001000,大字あけぼの,38.057018,139.757870,1,1
064010002000,大字伊佐領,38.054543,139.821873,1,1
064010003000,大字栄町,38.060864,139.748318,1,1
064010004000,大字越中里,38.147139,139.739927,1,1
064010005000,大字河原角,37.977505,139.776254,1,1
064010006000,大字貝少,38.098538,139.756615,1,1
064010007000,大字叶水,37.992271,139.800600,1,1
064010008000,大字岩井沢,38.055635,139.751000,1,1
064010009000,大字宮の台,38.078033,139.743061,1,1
064010010000,大字驚,38.167731,139.762440,1,1
064010011000,大字玉川,38.033440,139.680889,1,1
064010012000,大字玉川中里,37.988638,139.670346,1,1
064010013000,大字芹出,38.040348,139.777006,1,1
064010014000,大字金目,38.091195,139.802629,1,1
064010015000,大字古田,38.112706,139.763469,1,1
064010016000,大字五味沢,38.157774,139.786192,1,1
064010017000,大字幸町,38.068863,139.739621,1,1
064010018000,大字綱木箱口,38.050531,139.833725,1,1
064010019000,大字荒沢,38.162872,139.738905,1,1
064010020000,大字黒沢,38.038804,139.784801,1,1
064010021000,大字今市,38.126371,139.735419,1,1
064010022000,大字市野沢,38.022109,139.722853,1,1
064010023000,大字市野々,38.013409,139.821270,1,1
064010024000,大字若山,38.103332,139.752661,1,1
064010025000,大字種沢,38.040582,139.770748,1,1
064010026000,大字舟渡,38.105631,139.738339,1,1
064010027000,大字小玉川,37.959165,139.679777,1,1
064010028000,大字小股,38.159706,139.775368,1,1
064010029000,大字小国小坂町,38.059824,139.740980,1,1
064010030000,大字小国小坂町一丁目,38.059638,139.744025,1,1
064010031000,大字小国小坂町三丁目,38.062234,139.741558,1,1
064010032000,大字小国小坂町二丁目,38.062230,139.743869,1,1
064010033000,大字小国町,38.059711,139.750315,1,1
064010034000,大字小倉,38.008878,139.755444,1,1
064010035000,大字小渡,38.088520,139.730408,1,1
064010036000,大字松岡,38.042935,139.780746,1,1
064010037000,大字松崎,38.121901,139.741394,1,1
064010038000,大字沼沢,38.021722,139.875807,1,1
064010039000,大字焼山,38.159239,139.744615,1,1
064010040000,大字尻無沢,38.116312,139.736080,1,1
064010041000,大字新屋敷,38.095719,139.732419,1,1
064010042000,大字新原,38.038873,139.758328,1,1
064010043000,大字新股,37.991963,139.784784,1,1
064010044000,大字針生,38.094472,139.738185,1,1
064010045000,大字杉沢,38.041138,139.758966,1,1
064010046000,大字菅沼,38.002664,139.724242,1,1
064010047000,大字西,38.065476,139.743333,1,1
064010048000,大字西滝,37.958314,139.776114,1,1
064010049000,大字石滝,38.148103,139.788717,1,1
064010050000,大字折戸,38.171030,139.741227,1,1
064010051000,大字泉岡,37.976850,139.681515,1,1
064010052000,大字増岡,38.074459,139.738655,1,1
064010053000,大字足水中里,38.006445,139.725367,1,1
064010054000,大字足野水,38.038744,139.712928,1,1
064010055000,大字太鼓沢,38.164583,139.769870,1,1
064010056000,大字大宮,38.079463,139.738810,1,1
064010057000,大字大石沢,37.975743,139.807352,1,1
064010058000,大字大滝,38.025784,139.762171,1,1
064010059000,大字滝倉,37.996632,139.720056,1,1
064010060000,大字樽口,37.982739,139.721859,1,1
064010061000,大字中田山崎,38.006263,139.675876,1,1
064010062000,大字中島,38.161414,139.740995,1,1
064010063000,大字朝篠,38.052426,139.786805,1,1
064010064000,大字町原,38.047396,139.760725,1,1
064010065000,大字長沢,38.158595,139.753701,1,1
064010066000,大字田沢頭,38.079319,139.753638,1,1
064010067000,大字東原,38.048831,139.754236,1,1
064010068000,大字東滝,37.941208,139.782590,1,1
064010069000,大字湯ノ花,38.072534,139.747919,1,1
064010070000,大字栃倉,38.138222,139.735566,1,1
064010071000,大字入折戸,38.180688,139.736573,1,1
064010072000,大字白子沢,38.015038,139.865935,1,1
064010073000,大字樋ノ沢,38.158828,139.736562,1,1
064010074000,大字百子沢,38.006409,139.733168,1,1
064010075000,大字兵庫舘一丁目,38.053608,139.751563,1,1
064010076000,大字兵庫舘三丁目,38.053396,139.754260,1,1
064010077000,大字兵庫舘二丁目,38.054200,139.753233,1,1
064010078000,大字片貝,38.017590,139.675924,1,1
064010079000,大字北,38.066892,139.753144,1,1
064010080000,大字網代瀬,38.114229,139.738186,1,1
064010081000,大字緑町一丁目,38.059584,139.748082,1,1
064010082000,大字緑町五丁目,38.057106,139.748071,1,1
064010083000,大字緑町三丁目,38.058105,139.749278,1,1
064010084000,大字緑町四丁目,38.056887,139.749193,1,1
064010085000,大字緑町二丁目,38.058649,139.749419,1,1
