大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
473610001000,字宇江城,26.381799,126.774114,1,1
473610002000,字比屋定,26.381272,126.779446,1,1
473610003000,字阿嘉,26.371364,126.788663,1,1
473610004000,字真謝,26.355940,126.810859,1,1
473610005000,字宇根,26.350011,126.818864,1,1
473610006000,字奥武,26.339346,126.826910,1,1
473610007000,字謝名堂,26.339861,126.807881,1,1
473610008000,字比嘉,26.338534,126.800928,1,1
473610009000,字真我里,26.332355,126.795670,1,1
473610010000,字銭田,26.325575,126.801611,1,1
473610011000,字島尻,26.307781,126.802257,1,1
473610012000,字山城,26.336441,126.786194,1,1
473610013000,字儀間,26.332819,126.767185,1,1
473610014000,字仲村渠,26.377762,126.749996,1,1
473610015000,字具志川,26.373383,126.744417,1,1
473610016000,字仲地,26.365865,126.747571,1,1
473610017000,字山里,26.361677,126.748892,1,1
473610018000,字上江洲,26.358178,126.748614,1,1
473610019000,字西銘,26.354972,126.747382,1,1
473610020000,字北原,26.368173,126.717520,1,1
473610021000,字大原,26.356337,126.723154,1,1
473610022000,字鳥島,26.346879,126.742981,1,1
473610023000,字仲泊,26.348343,126.745122,1,1
473610024000,字大田,26.346252,126.752719,1,1
473610025000,字兼城,26.344255,126.756848,1,1
473610026000,字嘉手苅,26.337517,126.763488,1,1
