大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
152230001000,かがやき,37.789393,139.242744,2,1
152230002000,みそら野町,37.842328,139.203686,1,1
152230003000,安野町,37.843108,139.221772,1,1
152230004000,稲荷町,37.830841,139.215706,1,1
152230005000,羽黒,37.819917,139.283911,1,1
152230006000,羽多屋,37.787410,139.257215,1,1
152230007000,姥ヶ橋,37.841536,139.184857,1,1
152230008000,越御堂,37.802400,139.235703,1,1
152230009000,榎,37.876984,139.240152,1,1
152230010000,榎船渡,37.863382,139.246730,1,1
152230011000,押切,37.828646,139.257526,1,1
152230012000,横山,37.835913,139.242644,1,1
152230013000,岡山町,37.834491,139.223607,1,1
152230014000,沖,37.860461,139.255811,1,1
152230015000,沖ノ館,37.860361,139.238939,1,1
152230016000,荻島,37.866901,139.239924,1,1
152230017000,下ノ橋,37.833211,139.191803,1,1
152230018000,下一分,37.854785,139.275131,1,1
152230019000,下金田,37.830726,139.226213,1,1
152230020000,下黒瀬,37.843343,139.164829,1,1
152230021000,下山屋,37.847951,139.268642,1,1
152230022000,下条,37.845107,139.223466,1,1
152230023000,下条町,37.835780,139.218547,1,1
152230024000,下福岡,37.850501,139.252914,1,1
152230025000,下里,37.814661,139.169572,1,1
152230026000,嘉瀬島,37.810546,139.173562,1,1
152230027000,外城,37.847579,139.231071,1,1
152230028000,外城町,37.838442,139.233578,1,1
152230029000,学校町,37.831105,139.224790,1,1
152230030000,関屋,37.825668,139.186734,1,1
152230031000,丸山,37.774920,139.270337,1,1
152230032000,久保,37.764108,139.244023,1,1
152230033000,宮下,37.821700,139.256410,1,1
152230034000,宮下村新田,37.813041,139.270019,1,1
152230035000,宮島,37.817330,139.253460,1,1
152230036000,宮島村新田,37.812990,139.271484,1,1
152230037000,京ヶ瀬工業団地,37.818413,139.166044,1,1
152230038000,京ヶ島,37.831219,139.181515,1,1
152230039000,境新,37.808915,139.235855,1,1
152230040000,境新田,37.828774,139.237885,1,1
152230041000,金屋,37.828196,139.263649,1,1
152230042000,金沢,37.820040,139.248109,1,1
152230043000,金田町,37.829578,139.229454,1,1
152230044000,金渕,37.855045,139.190346,1,1
152230045000,駒林,37.860355,139.210043,1,1
152230046000,窪川原,37.835260,139.170774,1,1
152230047000,熊居新田,37.800794,139.224518,1,1
152230048000,熊堂,37.861510,139.274779,1,1
152230049000,熊堂村新田,37.879729,139.270957,1,1
152230050000,月崎,37.830244,139.201304,1,1
152230051000,五分市,37.807209,139.233812,1,1
152230052000,五郎巻,37.853817,139.199694,1,1
152230053000,向中ノ通,37.889424,139.261420,1,1
152230054000,荒屋,37.825646,139.228959,1,1
152230055000,高田,37.885916,139.251764,1,1
152230056000,高田村ノ内,37.876243,139.237279,1,1
152230057000,今板,37.810053,139.291434,1,1
152230058000,笹岡,37.845273,139.268248,1,1
152230059000,山岸新,37.805842,139.243573,1,1
152230060000,山口,37.834575,139.201008,1,1
152230061000,山口村新田,37.860238,139.220276,1,1
152230062001,山口町一丁目,37.840230,139.214763,1,3
152230062002,山口町二丁目,37.839771,139.201469,1,3
152230063000,山崎,37.837243,139.269891,1,1
152230064000,山寺,37.809592,139.266599,1,1
152230065000,山倉,37.877135,139.258824,1,1
152230066000,山倉新田,37.879780,139.254685,1,1
152230067000,山倉村新田地先,37.882160,139.257633,1,1
152230068000,山本新,37.797467,139.238370,1,1
152230069000,市野山,37.821717,139.225130,1,1
152230070000,寺社,37.792347,139.227588,1,1
152230071000,寺杜,37.796058,139.222178,1,1
152230072000,寺杜新,37.813868,139.189945,1,1
152230073000,次郎丸,37.829164,139.272319,1,1
152230074000,蒔田,37.842466,139.254772,1,1
152230075000,七浦,37.816004,139.258830,1,1
152230076000,七浦村新田,37.812793,139.272973,1,1
152230077000,七石,37.812981,139.236641,1,1
152230078000,七島,37.823174,139.201750,1,1
152230079000,七島村古新田,37.822063,139.213997,1,1
152230080000,若葉町,37.833371,139.217173,1,1
152230081000,十二神,37.803831,139.254816,1,1
152230082000,出湯,37.819196,139.297702,1,1
152230083000,女堂,37.849613,139.299314,1,1
152230084000,勝屋,37.836573,139.304922,1,1
152230085000,小河原,37.816580,139.178670,1,1
152230086000,小境,37.812394,139.216841,1,1
152230087000,小栗山,37.843716,139.283012,1,1
152230088000,小松,37.742373,139.279328,1,1
152230089000,小中山村新田,37.812147,139.276472,1,1
152230090000,小島,37.808216,139.186164,1,1
152230091000,小浮,37.778546,139.208722,1,1
152230092000,小里,37.842631,139.199424,1,1
152230093000,庄ケ宮,37.817991,139.227824,1,1
152230094000,上一分,37.847120,139.285672,1,1
152230095000,上関口,37.865573,139.259428,1,1
152230096000,上江端,37.797796,139.209035,1,1
152230097000,上高関,37.866844,139.270194,1,1
152230098000,上高田,37.869698,139.253677,1,1
152230099000,上黒瀬,37.839728,139.169481,1,1
152230100000,上坂町,37.825485,139.274650,1,1
152230101000,上山屋,37.835380,139.262311,1,1
152230102000,上山田,37.812749,139.260691,1,1
152230103000,上小中山,37.813591,139.258766,1,1
152230104000,上西山,37.858755,139.304041,1,1
152230105000,上西野,37.872268,139.265616,1,1
152230106000,上蔵野,37.861721,139.271547,1,1
152230107000,上中,37.820511,139.229034,1,1
152230108000,上中野目,37.822814,139.230871,1,1
152230109000,上飯塚,37.866333,139.242151,1,1
152230110000,上福岡,37.799395,139.192708,1,1
152230111000,上牧野,37.872288,139.273376,1,1
152230112000,城,37.845412,139.178656,1,1
152230113000,新座,37.787919,139.211727,1,1
152230114000,新飯田,37.814117,139.223942,1,1
152230115000,新保,37.755031,139.233749,1,1
152230116000,深町,37.819659,139.241819,1,1
152230117000,深堀,37.850076,139.170148,1,1
152230118000,須走,37.833793,139.250516,1,1
152230119000,水ケ曽根,37.801152,139.185068,1,1
152230120000,水原,37.854982,139.232937,1,1
