大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
263440001000,高尾,34.864668,135.842660,1,1
263440002000,郷之口,34.852423,135.848951,1,1
263440003000,贄田,34.850699,135.859704,1,1
263440004000,銘城台,34.845111,135.844786,1,1
263440005000,荒木,34.854629,135.858792,1,1
263440006000,南,34.844154,135.854223,1,1
263440007000,岩山,34.859892,135.868170,1,1
263440008000,立川,34.850460,135.874170,1,1
263440009000,禅定寺,34.871203,135.873061,1,1
263440010000,緑苑坂,34.861857,135.891424,1,1
263440011000,湯屋谷,34.853471,135.895952,1,1
263440012000,奥山田,34.858670,135.920490,1,1
