大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
062020001001,アルカディア一丁目,37.914974,140.142580,1,3
062020002000,栄町,37.916201,140.114772,1,1
062020003001,駅前一丁目,37.909570,140.128679,1,3
062020003002,駅前二丁目,37.909510,140.123421,1,3
062020003003,駅前三丁目,37.911965,140.125106,1,3
062020003004,駅前四丁目,37.912092,140.120692,1,3
062020004000,遠山町,37.903655,140.081629,1,1
062020005000,塩井町塩野,37.933167,140.096810,1,1
062020006000,塩井町宮井,37.942544,140.112580,1,1
062020007001,下花沢一丁目,37.906041,140.131968,1,3
062020007002,下花沢二丁目,37.911181,140.130165,1,3
062020007003,下花沢三丁目,37.917063,140.127310,1,3
062020008000,下小菅,37.961985,140.067337,1,1
062020009000,花沢町,37.919535,140.123012,1,1
062020009001,花沢町一丁目,37.916060,140.124115,1,3
062020010001,舘山一丁目,37.911455,140.076444,1,3
062020010002,舘山二丁目,37.914761,140.076854,1,3
062020010003,舘山三丁目,37.914658,140.072096,1,3
062020010004,舘山四丁目,37.912921,140.071789,1,3
062020010005,舘山五丁目,37.910588,140.071077,1,3
062020010006,舘山六丁目,37.910474,140.065172,1,3
062020011000,舘山矢子町,37.916422,140.060050,1,1
062020012001,丸の内一丁目,37.908952,140.105027,1,3
062020012002,丸の内二丁目,37.912144,140.106702,1,3
062020013001,金池一丁目,37.917194,140.115646,1,3
062020013002,金池二丁目,37.919225,140.115340,1,3
062020013003,金池三丁目,37.920781,140.115916,1,3
062020013004,金池四丁目,37.918997,140.117911,1,3
062020013005,金池五丁目,37.922363,140.116620,1,3
062020013006,金池六丁目,37.926568,140.115166,1,3
062020013007,金池七丁目,37.927414,140.118902,1,3
062020013008,金池八丁目,37.929817,140.119285,1,3
062020014000,窪田町窪田,37.962524,140.125868,1,1
062020015000,窪田町小瀬,37.950520,140.111725,1,1
062020016000,窪田町東江股,37.972652,140.110604,1,1
062020017000,窪田町藤泉,37.958462,140.109062,1,1
062020018000,窪田町矢野目,37.972663,140.122057,1,1
062020019000,古志田町,37.895209,140.083800,1,1
062020020000,吾妻町,37.893802,140.119762,1,1
062020021001,御廟一丁目,37.914911,140.091568,1,3
062020021002,御廟二丁目,37.909050,140.091596,1,3
062020021003,御廟三丁目,37.904824,140.094417,1,3
062020022000,広幡町沖中,37.953374,140.082426,1,1
062020023000,広幡町京塚,37.946645,140.073098,1,1
062020024000,広幡町小山田,37.950897,140.086640,1,1
062020025000,広幡町上小菅,37.936188,140.053252,1,1
062020026000,広幡町成島,37.932108,140.074970,1,1
062020027000,広幡町大沢,37.953210,140.072157,1,1
062020028000,桜木町,37.914263,140.116948,1,1
062020029000,笹野町,37.887588,140.090483,1,1
062020030000,笹野本町,37.878647,140.092065,1,1
062020031001,春日一丁目,37.922832,140.111680,1,3
062020031002,春日二丁目,37.923048,140.108492,1,3
062020031003,春日三丁目,37.927548,140.113488,1,3
062020031004,春日四丁目,37.930822,140.116757,1,3
062020031005,春日五丁目,37.931565,140.114371,1,3
062020032000,諸仏町,37.882963,140.104559,1,1
062020033000,小野川町,37.867110,140.061828,1,1
