大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
082100001000,伊古立,36.145394,139.982830,1,1
082100002000,羽子,36.151061,139.966515,1,1
082100003000,横根,36.203088,139.985480,1,1
082100004000,下宮,36.224371,139.991063,1,1
082100005000,下栗,36.166617,139.959559,1,1
082100006000,下妻,36.191090,139.963655,1,1
082100007000,下田,36.211958,139.999054,1,1
082100008000,下木戸,36.194920,139.950246,1,1
082100009000,加養,36.166323,139.980692,1,1
082100010000,皆葉,36.143652,139.939783,1,1
082100011000,鎌庭,36.153929,139.954188,1,1
082100012000,関本下,36.242580,139.930782,1,1
082100013000,鬼怒,36.161227,139.958844,1,1
082100014000,桐ケ瀬,36.204405,139.921852,1,1
082100015000,鯨,36.146419,139.994941,1,1
082100016000,見田,36.154922,139.982840,1,1
082100017000,原,36.146955,139.966180,1,1
082100018000,古沢,36.186012,139.993556,1,1
082100019000,五箇,36.139402,139.926799,1,1
082100020000,江,36.233542,139.934116,1,1
082100021000,高道祖,36.191792,140.016427,1,1
082100022000,黒駒,36.222106,139.932013,1,1
082100023000,今泉,36.176793,139.946748,1,1
082100024000,砂沼新田,36.182086,139.953063,1,1
082100025000,坂井,36.195046,139.981641,1,1
082100026000,坂本新田,36.193038,139.967798,1,1
082100027000,山尻,36.177845,139.997427,1,1
082100028000,柴,36.214411,139.933110,1,1
082100029000,若柳,36.226654,139.976227,1,1
082100030000,宗道,36.155162,139.968952,1,1
082100031000,渋井,36.211640,139.920085,1,1
082100032000,渋田,36.149965,139.972664,1,1
082100033000,小島,36.171539,139.965152,1,1
082100034001,小野子町一丁目,36.181828,139.965942,1,3
082100034002,小野子町二丁目,36.182754,139.967958,1,3
082100035000,尻手,36.214668,139.920455,1,1
082100036000,新堀,36.166764,139.973714,1,1
082100037000,神明,36.221942,139.971354,1,1
082100038000,数須,36.215198,139.989233,1,1
082100039000,石の宮,36.195404,139.944895,1,1
082100040000,赤須,36.207963,139.929384,1,1
082100041000,前河原,36.201564,139.936518,1,1
082100042000,村岡,36.160622,139.922052,1,1
082100043000,袋畑,36.177535,139.984710,1,1
082100044000,大園木,36.152336,139.998688,1,1
082100045000,大串,36.196321,139.974623,1,1
082100046000,大宝,36.201282,139.973467,1,1
082100047000,大木,36.215928,139.957677,1,1
082100048000,大木新田,36.194221,139.966962,1,1
082100049000,谷田部,36.181132,139.994615,1,1
082100050000,筑波島,36.211645,139.989673,1,1
082100051000,中居指,36.180397,139.938458,1,1
082100052000,中郷,36.218155,139.994337,1,1
082100053000,長萱,36.148465,139.978951,1,1
082100054000,長塚,36.189767,139.941014,1,1
082100055000,田下,36.164649,139.965284,1,1
082100056001,田町一丁目,36.187468,139.970455,1,3
082100056002,田町二丁目,36.185669,139.971288,1,3
082100057000,唐崎,36.151742,139.981399,1,1
082100058000,南原,36.200320,139.942641,1,1
082100059000,二本紀,36.168638,139.950474,1,1
082100060000,半谷,36.213645,139.938364,1,1
082100061000,比毛,36.188634,139.993218,1,1
082100062000,樋橋,36.164472,139.999985,1,1
082100063000,肘谷,36.171815,139.997459,1,1
082100064000,福田,36.203521,139.964423,1,1
082100065000,平沼,36.196472,139.971264,1,1
082100066000,平川戸,36.211697,139.983531,1,1
082100067000,平方,36.226495,139.916874,1,1
082100068000,別府,36.155117,139.941959,1,1
082100069000,北大宝,36.213281,139.975058,1,1
082100070000,堀篭,36.187354,139.981049,1,1
082100071000,本宗道,36.160815,139.968582,1,1
082100072001,本宿町一丁目,36.186504,139.963946,1,3
082100072002,本宿町二丁目,36.186697,139.968152,1,3
082100073001,本城町一丁目,36.185483,139.965396,1,3
082100073002,本城町二丁目,36.183857,139.965808,1,3
082100073003,本城町三丁目,36.184936,139.969241,1,3
082100074000,柳原,36.180063,140.006940,1,1
082100075000,亀崎,36.161569,139.991736,0,1
