大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
422100001000,郷ノ浦町渡良南触,33.756055,129.661866,1,1
422100002000,郷ノ浦町渡良西触,33.754229,129.654565,1,1
422100003000,郷ノ浦町渡良東触,33.767108,129.651530,1,1
422100004000,郷ノ浦町渡良浦,33.747959,129.658938,1,1
422100005000,郷ノ浦町大島,33.738042,129.637419,1,1
422100006000,郷ノ浦町長島,33.727838,129.634617,1,1
422100007000,郷ノ浦町原島,33.725575,129.649274,1,1
422100008000,郷ノ浦町物部本村触,33.768451,129.711008,1,1
422100009000,郷ノ浦町柳田触,33.767468,129.700737,1,1
422100010000,郷ノ浦町木田触,33.776860,129.710510,1,1
422100011000,郷ノ浦町半城本村触,33.764932,129.689387,1,1
422100012000,郷ノ浦町牛方触,33.770067,129.692736,1,1
422100013000,郷ノ浦町大浦触,33.775287,129.681489,1,1
422100014000,郷ノ浦町新田触,33.808070,129.657641,1,1
422100015000,郷ノ浦町里触,33.797441,129.669063,1,1
422100016000,郷ノ浦町小牧東触,33.791516,129.666995,1,1
422100017000,郷ノ浦町小牧西触,33.794789,129.662426,1,1
422100018000,郷ノ浦町長峰本村触,33.791022,129.674730,1,1
422100019000,郷ノ浦町長峰東触,33.784431,129.685579,1,1
422100020000,郷ノ浦町有安触,33.783667,129.668467,1,1
422100021000,郷ノ浦町平人触,33.751292,129.729023,1,1
422100022000,郷ノ浦町釘山触,33.741045,129.725973,1,1
422100023000,郷ノ浦町志原南触,33.738271,129.719407,1,1
422100024000,郷ノ浦町大原触,33.754687,129.719850,1,1
422100025000,郷ノ浦町初山東触,33.711684,129.716756,1,1
422100026000,郷ノ浦町初山西触,33.719711,129.701048,1,1
422100027000,勝本町東触,33.848839,129.711461,1,1
422100028000,勝本町仲触,33.849227,129.704267,1,1
422100029000,勝本町西戸触,33.843462,129.698969,1,1
422100030000,勝本町大久保触,33.839174,129.693373,1,1
422100031000,勝本町坂本触,33.840951,129.683859,1,1
422100032000,勝本町北触,33.837326,129.716209,1,1
422100033000,勝本町新城東触,33.830123,129.722802,1,1
422100034000,勝本町片山触,33.819125,129.717407,1,1
422100035000,勝本町新城西触,33.832448,129.712269,1,1
422100036000,勝本町勝本浦,33.850794,129.693425,1,1
422100037000,勝本町立石西触,33.800944,129.679455,1,1
422100038000,勝本町立石南触,33.797531,129.685912,1,1
422100039000,勝本町立石仲触,33.790130,129.690437,1,1
422100040000,勝本町立石東触,33.795243,129.696759,1,1
422100041000,勝本町百合畑触,33.803018,129.700849,1,1
422100042000,勝本町布気触,33.809304,129.703652,1,1
422100043000,勝本町上場触,33.814178,129.698414,1,1
422100044000,勝本町湯本浦,33.805355,129.686979,1,1
422100045000,勝本町本宮仲触,33.821894,129.681577,1,1
422100046000,勝本町本宮西触,33.831815,129.679106,1,1
422100047000,勝本町本宮東触,33.823536,129.692940,1,1
422100048000,勝本町本宮南触,33.813386,129.685844,1,1
422100049000,芦辺町深江東触,33.777884,129.755770,1,1
422100050000,芦辺町深江南触,33.775235,129.747864,1,1
422100051000,芦辺町深江本村触,33.779833,129.745463,1,1
422100052000,芦辺町深江栄触,33.766761,129.747731,1,1
422100053000,芦辺町深江鶴亀触,33.769403,129.754468,1,1
422100054000,芦辺町深江平触,33.764057,129.760834,1,1
422100055000,芦辺町諸吉二亦触,33.784917,129.753518,1,1
422100056000,芦辺町諸吉仲触,33.791829,129.755327,1,1
422100057000,芦辺町諸吉東触,33.795272,129.762345,1,1
422100058000,芦辺町諸吉本村触,33.792178,129.775778,1,1
422100059000,芦辺町諸吉南触,33.788175,129.776073,1,1
422100060000,芦辺町諸吉大石触,33.804925,129.751069,1,1
422100061000,芦辺町芦辺浦,33.802259,129.759965,1,1
422100062000,芦辺町中野郷西触,33.790083,129.718617,1,1
422100063000,芦辺町中野郷本村触,33.790599,129.728146,1,1
422100064000,芦辺町中野郷仲触,33.797548,129.737277,1,1
422100065000,芦辺町中野郷東触,33.793495,129.739883,1,1
422100066000,芦辺町湯岳本村触,33.781445,129.734994,1,1
422100067000,芦辺町湯岳今坂触,33.777591,129.730287,1,1
422100068000,芦辺町湯岳興触,33.770724,129.731726,1,1
422100069000,芦辺町住吉山信触,33.780398,129.718890,1,1
422100070000,芦辺町住吉東触,33.786897,129.708895,1,1
422100071000,芦辺町住吉前触,33.779458,129.699255,1,1
422100072000,芦辺町住吉後触,33.788724,129.701620,1,1
422100073000,芦辺町国分川迎触,33.796207,129.710309,1,1
