大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
085460001000,大字一ノ谷,36.087750,139.820513,1,1
085460002000,大字稲尾,36.141072,139.789927,1,1
085460003000,大字浦向,36.094681,139.812125,1,1
085460004000,大字猿山,36.138639,139.802075,1,1
085460005000,大字横塚,36.150375,139.779156,1,1
085460006000,大字下砂井,36.134862,139.826658,1,1
085460007000,大字下小橋,36.103533,139.805643,1,1
085460008000,大字桐ヶ作,36.063407,139.819222,1,1
085460009000,大字金岡,36.085725,139.812154,1,1
085460010000,大字栗山,36.129528,139.824113,1,1
085460011000,大字山崎,36.121771,139.821034,1,1
085460012000,大字志鳥,36.149612,139.793594,1,1
085460013000,大字蛇池,36.129966,139.812014,1,1
085460014000,大字若林,36.076059,139.834757,1,1
085460015000,大字上小橋,36.118393,139.808939,1,1
085460016000,大字新田戸,36.073989,139.811603,1,1
085460017000,大字西泉田,36.116596,139.815961,1,1
085460018000,大字染谷,36.098216,139.818688,1,1
085460019000,大字大歩,36.107287,139.821862,1,1
085460020000,大字長井戸,36.130374,139.795796,1,1
085460021000,大字塚崎,36.128162,139.775635,1,1
085460022000,大字内門,36.115561,139.828289,1,1
085460023000,大字百戸,36.075711,139.818963,1,1
085460024000,大字伏木,36.096528,139.829939,1,1
085460025000,大字陽光台,36.109423,139.803733,1,1
