大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
063240001000,大字塩野平,38.369947,140.160176,1,1
063240002000,大字荻野,38.369790,140.182069,1,1
063240003000,大字貫見,38.372823,140.095784,1,1
063240004000,大字顔好乙,38.378217,140.153536,1,1
063240005000,大字顔好甲,38.379107,140.147170,1,1
063240006000,大字橋上,38.381717,140.140237,1,1
063240007000,大字月布,38.385720,140.115922,1,1
063240008000,大字原田,38.380667,140.193610,1,1
063240009000,大字黒森,38.381608,140.088735,1,1
063240010000,大字左沢,38.380909,140.206625,1,1
063240011000,大字材木,38.371060,140.141463,1,1
063240012000,大字三郷乙,38.349030,140.203038,1,1
063240013000,大字三郷甲,38.333425,140.187379,1,1
063240014000,大字三郷丙,38.360745,140.219225,1,1
063240015000,大字十八才乙,38.388988,140.133113,1,1
063240016000,大字十八才甲,38.384012,140.133780,1,1
063240017000,大字所部,38.368184,140.152005,1,1
063240018000,大字勝生,38.321056,140.077589,1,1
063240019000,大字小見,38.370552,140.203173,1,1
063240020000,大字小清,38.356907,140.091441,1,1
063240021000,大字小柳,38.399361,140.094206,1,1
063240022000,大字小釿,38.388348,140.140241,1,1
063240023000,大字大鉢,38.395249,140.102995,1,1
063240024000,大字沢口,38.369561,140.074983,1,1
063240025000,大字藤田,38.372802,140.208165,1,1
063240026000,大字堂屋敷,38.369528,140.172204,1,1
063240027000,大字楢山,38.389211,140.122869,1,1
063240028000,大字富沢,38.357499,140.204260,1,1
063240029000,大字本郷乙,38.376031,140.164520,1,1
063240030000,大字本郷己,38.377632,140.196550,1,1
063240031000,大字本郷甲,38.377492,140.159183,1,1
063240032000,大字本郷丁,38.378850,140.187903,1,1
063240033000,大字本郷丙,38.375668,140.181830,1,1
063240034000,大字本郷戊,38.385231,140.189273,1,1
063240035000,大字柳川,38.370169,140.057116,1,1
