大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
282030001001,二見町西二見駅前１丁目,34.705017,134.878720,1,3
282030001002,二見町西二見駅前２丁目,34.703817,134.878062,1,3
282030001003,二見町西二見駅前３丁目,34.705278,134.875386,1,3
282030001004,二見町西二見駅前４丁目,34.706781,134.876344,1,3
282030002001,松が丘１丁目,34.657320,135.029864,1,3
282030002002,松が丘２丁目,34.654324,135.026964,1,3
282030002003,松が丘３丁目,34.654993,135.024414,1,3
282030002004,松が丘４丁目,34.650003,135.023676,1,3
282030002005,松が丘５丁目,34.650104,135.021054,1,3
282030003000,松が丘北町,34.660436,135.026794,1,1
282030004000,大蔵谷奥,34.654832,135.022749,1,1
282030005000,東山町,34.658671,135.025274,1,1
282030006000,朝霧北町,34.655372,135.021492,1,1
282030007000,朝霧台,34.656028,135.018733,1,1
282030008000,朝霧山手町,34.655164,135.016126,1,1
282030009000,大蔵谷,34.647939,135.016152,1,1
282030010001,朝霧町１丁目,34.646586,135.011511,1,3
282030010002,朝霧町２丁目,34.648930,135.012835,1,3
282030010003,朝霧町３丁目,34.652581,135.016515,1,3
282030011001,北朝霧丘１丁目,34.657481,135.014170,1,3
282030011002,北朝霧丘２丁目,34.657350,135.012558,1,3
282030012000,東朝霧丘,34.654988,135.010599,1,1
282030013000,中朝霧丘,34.652349,135.010804,1,1
282030014000,西朝霧丘,34.654735,135.009670,1,1
282030015000,荷山町,34.656702,135.006473,1,1
282030016000,東野町,34.650138,135.009538,1,1
282030017000,太寺大野町,34.652975,135.006830,1,1
282030018000,太寺天王町,34.656693,135.004296,1,1
282030019001,太寺１丁目,34.651644,135.004786,1,3
282030019002,太寺２丁目,34.654206,135.004267,1,3
282030019003,太寺３丁目,34.651937,135.002343,1,3
282030019004,太寺４丁目,34.654960,135.002243,1,3
282030020000,東人丸町,34.648399,135.005828,1,1
282030021000,人丸町,34.648578,135.001682,1,1
282030022000,山下町,34.649182,134.997584,1,1
282030023001,上ノ丸１丁目,34.652007,134.999749,1,3
282030023002,上ノ丸２丁目,34.652896,134.997964,1,3
282030023003,上ノ丸３丁目,34.654420,134.999471,1,3
282030024000,明石公園,34.651932,134.993066,1,1
282030025000,鷹匠町,34.652058,134.989782,1,1
