大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
112010001001,かすみ野一丁目,35.902221,139.416674,2,3
112010001002,かすみ野二丁目,35.904236,139.415249,2,3
112010002000,かわつる三芳野,35.921866,139.409238,1,1
112010003001,旭町一丁目,35.904039,139.475930,1,3
112010003002,旭町二丁目,35.901111,139.473219,1,3
112010003003,旭町三丁目,35.898574,139.471029,1,3
112010004000,安比奈新田,35.901812,139.424494,1,1
112010005000,伊佐沼,35.926330,139.513801,1,1
112010006001,伊勢原町一丁目,35.921885,139.432442,1,3
112010006002,伊勢原町二丁目,35.921210,139.429947,1,3
112010006003,伊勢原町三丁目,35.923406,139.426482,1,3
112010006004,伊勢原町四丁目,35.922004,139.426054,1,3
112010006005,伊勢原町五丁目,35.921625,139.423549,1,3
112010007000,稲荷町,35.881198,139.503135,1,1
112010008000,栄,35.957363,139.424420,1,1
112010009000,下広谷,35.951207,139.429853,1,1
112010010000,下小坂,35.947655,139.454353,1,1
112010011000,下松原,35.868855,139.490745,1,1
112010012000,下新河岸,35.880437,139.490160,1,1
112010013000,下赤坂,35.859994,139.480235,1,1
112010014000,下老袋,35.930615,139.532172,1,1
112010015001,霞ヶ関東一丁目,35.923378,139.441860,1,3
112010015002,霞ヶ関東二丁目,35.924150,139.445465,1,3
112010015003,霞ヶ関東三丁目,35.921860,139.444814,1,3
112010015004,霞ヶ関東四丁目,35.922995,139.447318,1,3
112010015005,霞ヶ関東五丁目,35.922477,139.449963,1,3
112010016001,霞ヶ関北一丁目,35.924499,139.436206,1,3
112010016002,霞ヶ関北二丁目,35.927678,139.436476,1,3
112010016003,霞ヶ関北三丁目,35.927171,139.434027,1,3
112010016004,霞ヶ関北四丁目,35.924074,139.434210,1,3
112010016005,霞ヶ関北五丁目,35.924525,139.430180,1,3
112010016006,霞ヶ関北六丁目,35.926494,139.429998,1,3
112010017001,郭町一丁目,35.923631,139.487631,1,3
112010017002,郭町二丁目,35.924280,139.491827,1,3
112010018000,笠幡,35.908406,139.402353,1,1
112010019000,鴨田,35.935854,139.518844,1,1
112010020000,萱沼,35.890852,139.551664,1,1
112010021000,岸,35.891657,139.484033,2,1
112010022001,岸町一丁目,35.900687,139.491876,1,3
112010022002,岸町二丁目,35.897644,139.488503,1,3
112010022003,岸町三丁目,35.894264,139.483621,1,3
112010023000,喜多町,35.926545,139.482450,1,1
112010024000,吉田,35.929577,139.430205,1,1
112010025001,吉田新町一丁目,35.926600,139.422615,1,3
112010025002,吉田新町二丁目,35.925212,139.420310,1,3
112010025003,吉田新町三丁目,35.928121,139.419903,1,3
112010026000,久下戸,35.895090,139.536729,1,1
112010027000,久保町,35.919678,139.488587,1,1
112010028001,宮下町一丁目,35.926196,139.488374,1,3
112010028002,宮下町二丁目,35.928057,139.486398,1,3
112010029000,宮元町,35.932882,139.484563,1,1
112010030000,牛子,35.892378,139.508429,1,1
112010031000,熊野町,35.875834,139.502667,1,1
112010032000,鯨井,35.937802,139.453066,1,1
112010033000,鯨井新田,35.933436,139.420336,1,1
112010034000,月吉町,35.920389,139.473243,1,1
112010035001,元町一丁目,35.925030,139.484797,1,3
112010035002,元町二丁目,35.925114,139.481463,1,3
112010036000,古市場,35.886372,139.529099,1,1
112010037000,古谷上,35.919997,139.531847,1,1
112010038000,古谷本郷,35.903707,139.542444,1,1
112010039000,御成町,35.935896,139.492397,1,1
112010040000,幸町,35.923007,139.482901,1,1
112010041000,広栄町,35.902190,139.468092,1,1
112010042000,広谷新町,35.947136,139.428233,2,1
112010043000,高島,35.914099,139.509858,1,1
112010044001,今成一丁目,35.924680,139.473730,1,3
112010044002,今成二丁目,35.924313,139.467425,1,3
112010044003,今成三丁目,35.921356,139.466732,1,3
112010044004,今成四丁目,35.919291,139.465999,1,3
112010045000,今泉,35.895451,139.527593,1,1
112010046000,今福,35.879587,139.470647,1,1
112010047000,砂,35.894687,139.497731,1,1
112010048000,砂久保,35.885639,139.483442,1,1
112010049000,砂新田,35.890742,139.494079,1,1
