大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
442050001000,二栄,33.021683,131.912491,1,1
442050002000,守後浦,32.987899,131.913142,1,1
442050003000,久保浦,32.993895,131.917302,1,1
442050004000,片神浦,33.003821,131.925620,1,1
442050005000,高松浦,33.010354,131.926699,1,1
442050006000,塩内浦,32.996268,131.934926,1,1
442050007000,日向泊浦,33.010747,131.936038,1,1
442050008000,荒網代浦,32.990043,131.929769,1,1
442050009000,石間浦,32.983795,131.919810,1,1
442050010000,堅田,32.915436,131.881189,1,1
442050011000,青山,32.876141,131.879736,1,1
442050012000,上浦最勝海浦,33.050736,131.976151,1,1
442050013000,上浦津井浦,33.052483,131.928245,1,1
442050014000,上浦浅海井浦,33.041589,131.918327,1,1
442050015000,弥生床木,33.009981,131.859370,1,1
442050016000,弥生大坂本,32.981783,131.847294,1,1
442050017000,弥生尺間,32.995364,131.823186,1,1
442050018000,弥生井崎,32.976888,131.844529,1,1
442050019000,弥生上小倉,32.968167,131.836318,1,1
442050020000,弥生山梨子,32.966352,131.820230,1,1
442050021000,弥生小田,32.955851,131.851000,1,1
442050022000,弥生細田,32.958939,131.829755,1,1
442050023000,弥生平井,32.957393,131.833412,1,1
442050024000,弥生門田,32.953044,131.836665,1,1
442050025000,弥生江良,32.936734,131.823569,1,1
442050026000,弥生提内,32.931797,131.826761,1,1
442050027000,本匠風戸,32.963513,131.799221,1,1
442050028000,本匠笠掛,32.952590,131.806784,1,1
442050029000,本匠三股,32.949707,131.794510,1,1
442050030000,本匠宇津々,32.962318,131.778986,1,1
442050031000,本匠波寄,32.946501,131.784543,1,1
442050032000,本匠小川,32.915595,131.764134,1,1
442050033000,本匠小半,32.948898,131.752242,1,1
442050034000,本匠井ノ上,32.945088,131.732216,1,1
442050035000,本匠因尾,32.934499,131.720182,1,1
442050036000,本匠堂ノ間,32.931221,131.710852,1,1
442050037000,本匠上津川,32.900404,131.703801,1,1
442050038000,本匠山部,32.937060,131.665540,1,1
442050039000,宇目重岡,32.836857,131.670806,1,1
442050040000,宇目大平,32.841941,131.713770,1,1
442050041000,宇目塩見園,32.851628,131.690048,1,1
442050042000,宇目河内,32.875372,131.695123,1,1
442050043000,宇目千束,32.854823,131.679020,1,1
442050044000,宇目小野市,32.855513,131.630222,1,1
442050045000,宇目南田原,32.842580,131.610274,1,1
442050046000,宇目木浦内,32.823415,131.536302,1,1
442050047000,宇目木浦鉱山,32.819560,131.557298,1,1
442050048000,直川赤木,32.871841,131.782621,1,1
442050049000,直川仁田原,32.877036,131.751832,1,1
442050050000,直川横川,32.884144,131.737077,1,1
442050051000,直川上直見,32.897639,131.778799,1,1
442050052000,直川下直見,32.929439,131.809188,1,1
442050053000,鶴見吹浦,32.950312,131.938335,1,1
442050054000,鶴見地松浦,32.944318,131.959702,1,1
442050055000,鶴見沖松浦,32.951639,131.966531,1,1
442050056000,鶴見有明浦,32.940171,131.974048,1,1
442050057000,鶴見羽出浦,32.942459,131.996853,1,1
442050058000,鶴見中越浦,32.931509,132.004239,1,1
442050059000,鶴見丹賀浦,32.946684,132.049154,1,1
442050060000,鶴見梶寄浦,32.942506,132.065661,1,1
442050061000,鶴見大島,32.965585,132.071796,1,1
442050062000,米水津浦代浦,32.923160,131.974950,1,1
442050063000,米水津色利浦,32.890523,131.981791,1,1
442050064000,米水津宮野浦,32.889016,131.992728,1,1
442050065000,米水津竹野浦,32.924000,131.987063,1,1
442050066000,米水津小浦,32.921585,131.992741,1,1
442050067000,蒲江野々河内浦,32.813597,131.894489,1,1
442050068000,蒲江森崎浦,32.806359,131.886587,1,1
442050069000,蒲江丸市尾浦,32.790754,131.871678,1,1
442050070000,蒲江葛原浦,32.775428,131.865569,1,1
442050071000,蒲江波当津浦,32.749071,131.863566,1,1
442050072000,蒲江蒲江浦,32.801234,131.922039,1,1
442050073000,蒲江猪串浦,32.800693,131.900029,1,1
442050074000,蒲江竹野浦河内,32.816386,131.961584,1,1
442050075000,蒲江西野浦,32.822351,131.978819,1,1
442050076000,蒲江楠本浦,32.834239,131.939244,1,1
442050077000,蒲江畑野浦,32.859596,131.945145,1,1
442050078000,上岡,32.978544,131.874532,1,1
442050079000,稲垣,32.951034,131.870958,1,1
442050080000,鶴望,32.969822,131.880658,1,1
442050081000,長谷,32.938172,131.883768,1,1
442050082000,池田,32.944235,131.893173,1,1
