大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
082260001000,瓜連,36.502734,140.453241,1,1
082260002000,横堀,36.468871,140.518350,1,1
082260003000,下江戸,36.491124,140.407882,1,1
082260004000,下大賀,36.509772,140.435110,1,1
082260005000,額田東郷,36.493922,140.534356,1,1
082260006000,額田南郷,36.483320,140.513943,1,1
082260007000,額田北郷,36.496902,140.515884,1,1
082260008000,古徳,36.495880,140.435069,1,1
082260009000,戸,36.460854,140.428545,1,1
082260010000,戸崎,36.473929,140.445707,1,1
082260011000,後台,36.427294,140.486456,1,1
082260012000,向山,36.468700,140.536643,1,1
082260013000,鴻巣,36.467628,140.476002,1,1
082260014000,鹿島,36.499164,140.466243,1,1
082260015000,上国井,36.451457,140.443164,1,1
082260016000,杉,36.460952,140.506793,1,1
082260017000,菅谷,36.444526,140.501175,1,1
082260018000,西木倉,36.419719,140.461810,1,1
082260019000,静,36.502800,140.420758,1,1
082260020000,大内,36.480483,140.415074,1,1
082260021000,中台,36.410360,140.477368,1,1
082260022000,中里,36.488625,140.451102,1,1
082260023000,津田,36.414748,140.493169,1,1
082260024000,堤,36.456414,140.519799,1,1
082260025000,田崎,36.476394,140.423472,1,1
082260026000,東木倉,36.418793,140.470989,1,1
082260027000,南酒出,36.477204,140.497243,1,1
082260028000,飯田,36.456352,140.458130,1,1
082260029000,福田,36.449300,140.479503,1,1
082260030000,平野,36.486325,140.436358,1,1
082260031000,豊喰,36.433075,140.465084,1,1
082260032000,北酒出,36.483239,140.484239,1,1
082260033000,本米崎,36.487410,140.545812,1,1
082260034000,門部,36.490705,140.477280,1,1
