大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
302060001000,上三栖,33.755167,135.442275,1,1
302060002000,中三栖,33.745811,135.432786,1,1
302060003000,上野,33.765891,135.466042,1,1
302060004000,長野,33.767929,135.444826,1,1
302060005000,伏菟野,33.785260,135.436758,1,1
302060006000,秋津川,33.813243,135.437148,1,1
302060007000,上芳養,33.788071,135.365505,1,1
302060008001,芳養松原一丁目,33.746527,135.353863,1,3
302060008002,芳養松原二丁目,33.747729,135.354883,1,3
302060009000,龍神村小又川,33.944863,135.570433,1,1
302060010000,龍神村三ツ又,33.921642,135.562546,1,1
302060011000,龍神村湯ノ又,33.946087,135.557121,1,1
302060012000,龍神村廣井原,33.933137,135.546459,1,1
302060013000,龍神村宮代,33.915344,135.501843,1,1
302060014000,龍神村丹生ノ川,33.916258,135.589508,1,1
302060015000,龍神村殿原,33.900318,135.534614,1,1
302060016000,龍神村東,33.892998,135.495703,1,1
302060017000,龍神村西,33.893109,135.488629,1,1
302060018000,龍神村安井,33.889056,135.477001,1,1
302060019000,龍神村柳瀬,33.878467,135.456489,1,1
302060020000,龍神村福井,33.881964,135.457442,1,1
302060021000,龍神村甲斐ノ川,33.906808,135.443921,1,1
302060022000,龍神村小家,33.928410,135.423614,1,1
302060023000,龍神村龍神,33.962480,135.561259,1,1
302060024000,中辺路町西谷,33.769805,135.480572,1,1
302060025000,中辺路町真砂,33.763214,135.500024,1,1
302060026000,中辺路町石船,33.766780,135.531049,1,1
302060027000,中辺路町大内川,33.785397,135.565848,1,1
302060028000,中辺路町小皆,33.794938,135.502289,1,1
302060029000,中辺路町熊野川,33.807150,135.496366,1,1
302060030000,中辺路町澤,33.818853,135.490309,1,1
302060031000,中辺路町水上,33.837986,135.486629,1,1
302060032000,中辺路町栗栖川,33.787922,135.509431,1,1
302060033000,中辺路町内井川,33.828926,135.505644,1,1
302060034000,中辺路町高原,33.786283,135.532532,1,1
302060035000,中辺路町川合,33.801510,135.526203,1,1
302060036000,中辺路町大川,33.811114,135.542106,1,1
302060037000,中辺路町福定,33.818475,135.560521,1,1
302060038000,中辺路町兵生,33.866608,135.584077,1,1
302060039000,中辺路町温川,33.826034,135.523229,1,1
302060040000,中辺路町小松原,33.839578,135.537118,1,1
302060041000,中辺路町近露,33.814605,135.605490,1,1
302060042000,中辺路町野中,33.826596,135.635047,1,1
302060043000,中辺路町道湯川,33.839603,135.678562,1,1
302060044000,中辺路町北郡,33.751727,135.503000,1,1
302060045000,九川,33.657286,135.594497,1,1
302060046000,串,33.663238,135.588781,1,1
302060047000,小谷,33.695032,135.535883,1,1
302060048000,木守,33.707611,135.663676,1,1
302060049000,合川,33.686292,135.566404,1,1
302060050000,五味,33.680328,135.624389,1,1
302060051000,佐田,33.664970,135.570057,1,1
302060052000,下川上,33.749400,135.653884,1,1
302060053000,下川下,33.741036,135.587865,1,1
302060054000,下露,33.676578,135.568658,1,1
302060055000,竹ノ平,33.694279,135.558081,1,1
302060056000,谷野口,33.669068,135.580597,1,1
302060057000,中ノ俣,33.662991,135.568583,1,1
302060058000,長瀬,33.655902,135.608433,1,1
302060059000,西大谷,33.715835,135.581644,1,1
302060060000,原,33.665036,135.615663,1,1
302060061000,東伏菟野,33.662848,135.610822,1,1
302060062000,平瀬,33.770470,135.593413,1,1
302060063000,深谷,33.704675,135.543100,1,1
302060064000,古屋,33.668521,135.569187,1,1
302060065000,面川,33.688727,135.595364,1,1
302060066000,熊野,33.713416,135.616399,1,1
302060067000,和田,33.780260,135.638541,1,1
302060068000,向山,33.706842,135.566448,1,1
302060069000,鮎川,33.731273,135.505804,1,1
302060070000,本宮町一本松,33.852704,135.750525,1,1
302060071000,本宮町大居,33.857081,135.776153,1,1
302060072000,本宮町上切原,33.865718,135.785119,1,1
302060073000,本宮町切畑,33.877879,135.759843,1,1
302060074000,本宮町土河屋,33.886865,135.765656,1,1
302060075000,本宮町本宮,33.836582,135.771500,1,1
302060076000,本宮町渡瀬,33.820543,135.762556,1,1
302060077000,本宮町湯峯,33.833787,135.755411,1,1
302060078000,本宮町下湯川,33.824138,135.754582,1,1
302060079000,本宮町曲川,33.821812,135.735377,1,1
302060080000,本宮町檜葉,33.815734,135.750396,1,1
302060081000,本宮町小々森,33.810241,135.736486,1,1
302060082000,本宮町皆地,33.808735,135.729137,1,1
302060083000,本宮町武住,33.819555,135.708282,1,1
302060084000,本宮町大瀬,33.811687,135.681510,1,1
302060085000,本宮町久保野,33.837382,135.735848,1,1
302060086000,本宮町平治川,33.836474,135.720358,1,1
302060087000,本宮町大津荷,33.823107,135.807268,1,1
302060088000,本宮町請川,33.811665,135.802733,1,1
302060089000,本宮町耳打,33.818906,135.776508,1,1
302060090000,本宮町皆瀬川,33.795530,135.797586,1,1
302060091000,本宮町川湯,33.810956,135.774078,1,1
302060092000,本宮町田代,33.803908,135.769841,1,1
302060093000,本宮町上大野,33.803688,135.759856,1,1
302060094000,本宮町東和田,33.804457,135.752315,1,1
302060095000,本宮町静川,33.767386,135.726815,1,1
302060096000,本宮町蓑尾谷,33.781973,135.781679,1,1
302060097000,本宮町野竹,33.791186,135.697251,1,1
302060098000,本宮町高山,33.827747,135.790501,1,1
302060099000,本宮町小津荷,33.831354,135.807788,1,1
302060100000,本宮町津荷谷,33.813643,135.819386,1,1
302060101000,本宮町伏拝,33.861301,135.750708,1,1
302060102000,本宮町三越,33.872641,135.699080,1,1
302060103000,本町,33.733725,135.374513,1,1
302060104000,栄町,33.733911,135.377014,1,1
302060105000,福路町,33.733220,135.376585,1,1
302060106000,片町,33.732761,135.372652,1,1
302060107000,紺屋町,33.734413,135.374720,1,1
302060108000,江川,33.732199,135.367410,1,1
302060109000,今福町,33.732542,135.378143,1,1
302060110000,南新町,33.731899,135.379872,1,1
302060111000,北新町,33.733717,135.379440,1,1
302060112001,上屋敷一丁目,33.731946,135.373836,1,3
302060112002,上屋敷二丁目,33.729976,135.375205,1,3
302060112003,上屋敷三丁目,33.730399,135.373460,1,3
302060113000,中屋敷町,33.729762,135.377693,1,1
302060114000,下屋敷町,33.730218,135.380596,1,1
302060115000,新屋敷町,33.727268,135.379560,1,1
302060116000,元町,33.747249,135.363909,1,1
302060117000,天神崎,33.731340,135.358110,1,1
302060118000,古尾,33.735795,135.371322,1,1
302060119000,目良,33.733526,135.354841,1,1
302060120000,湊,33.733874,135.382871,1,1
302060121000,磯間,33.721721,135.382039,1,1
302060122000,末広町,33.725007,135.380450,1,1
