大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
313700001000,小浜,35.517825,133.961773,1,1
313700002000,石脇,35.515574,133.952611,1,1
313700003000,泊,35.515906,133.941840,1,1
313700004000,園,35.508191,133.935799,1,1
313700005000,原,35.501529,133.924332,1,1
313700006000,宇谷,35.507559,133.910751,1,1
313700007000,筒地,35.501792,133.960169,1,1
313700008000,北福,35.488261,133.930835,1,1
313700009000,漆原,35.484587,133.928553,1,1
313700010000,方地,35.481801,133.923792,1,1
313700011000,白石,35.474493,133.928123,1,1
313700012000,野方,35.477289,133.918568,1,1
313700013000,藤津,35.480332,133.905418,1,1
313700014000,宮内,35.486408,133.901296,1,1
313700015000,松崎,35.475749,133.904299,1,1
313700016000,旭,35.468126,133.900850,1,1
313700017000,龍島,35.468205,133.896304,1,1
313700018000,中興寺,35.470008,133.906227,1,1
313700019000,久見,35.465430,133.910606,1,1
313700020000,田畑,35.463304,133.906426,1,1
313700021000,引地,35.462275,133.894696,1,1
313700022000,小鹿谷,35.459507,133.901795,1,1
313700023000,国信,35.456247,133.909663,1,1
313700024000,別所,35.452622,133.912278,1,1
313700025000,方面,35.452586,133.919030,1,1
313700026000,高辻,35.457057,133.916360,1,1
313700027000,川上,35.459804,133.926346,1,1
313700028000,野花,35.462224,133.887511,1,1
313700029000,羽衣石,35.441947,133.888549,1,1
313700030000,長和田,35.462405,133.880338,1,1
313700031000,埴見,35.448968,133.875872,1,1
313700032000,佐美,35.449078,133.865452,1,1
313700033000,門田,35.464904,133.872549,1,1
313700034000,長江,35.473769,133.869116,1,1
313700035000,宇野,35.505817,133.896078,1,1
313700036000,橋津,35.501338,133.876527,1,1
313700037000,上橋津,35.499394,133.881871,1,1
313700038000,はわい長瀬,35.502001,133.861162,1,1
313700039000,南谷,35.494428,133.882862,1,1
313700040000,赤池,35.496931,133.876714,1,1
313700041000,光吉,35.491859,133.873761,1,1
313700042000,久留,35.488742,133.862355,1,1
313700043000,水下,35.487646,133.867440,1,1
313700044000,下浅津,35.487285,133.879744,1,1
313700045000,上浅津,35.482073,133.877361,1,1
313700046000,はわい温泉,35.478436,133.882430,1,1
313700047000,田後,35.483644,133.852014,1,1
