大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
016650001001,高栄一丁目,43.485953,144.452987,1,3
016650001002,高栄二丁目,43.483601,144.454310,1,3
016650001003,高栄三丁目,43.483639,144.448883,1,3
016650001004,高栄四丁目,43.480792,144.443794,1,3
016650002001,桜丘一丁目,43.480336,144.456454,1,3
016650002002,桜丘二丁目,43.470465,144.440135,1,3
016650002003,桜丘三丁目,43.471569,144.439097,1,3
016650003000,字サワンチサップ,43.641267,144.399712,1,2
016650004000,字サンペコタン,43.428449,144.500894,1,2
016650005000,字奥オソツベツ原野,43.410265,144.413507,1,2
016650006000,字奥春別,43.479976,144.384802,1,2
016650007000,字屈斜路,43.568521,144.315910,1,2
016650008000,字屈斜路古丹,43.562166,144.352294,1,2
016650009000,字熊牛原野,43.448498,144.517280,1,2
016650010000,字札友内,43.522429,144.408512,1,2
016650011000,字仁多,43.496829,144.506881,1,2
016650012000,字跡佐登,43.616734,144.451630,1,2
016650013000,字弟子屈原野,43.498982,144.464769,1,2
016650014000,字美留和,43.557840,144.432254,1,2
016650015000,字鐺別,43.480480,144.424430,1,2
016650016001,川湯駅前一丁目,43.616381,144.455889,1,3
016650016002,川湯駅前二丁目,43.618385,144.457250,1,3
016650016003,川湯駅前三丁目,43.616027,144.453788,1,3
016650017001,川湯温泉一丁目,43.636925,144.439130,1,3
016650017002,川湯温泉二丁目,43.637730,144.434389,1,3
016650017003,川湯温泉三丁目,43.639871,144.437008,1,3
016650017004,川湯温泉四丁目,43.642125,144.442931,1,3
016650017005,川湯温泉五丁目,43.638484,144.447215,1,3
016650017006,川湯温泉六丁目,43.635711,144.448862,1,3
016650017007,川湯温泉七丁目,43.639586,144.451440,1,3
016650018001,泉一丁目,43.482333,144.460564,1,3
016650018002,泉二丁目,43.479245,144.463043,1,3
016650018003,泉三丁目,43.480944,144.468247,1,3
016650018004,泉四丁目,43.475145,144.467539,1,3
016650018005,泉五丁目,43.477364,144.470939,1,3
016650019001,中央一丁目,43.486222,144.457331,1,3
016650019002,中央二丁目,43.485064,144.458126,1,3
016650019003,中央三丁目,43.483990,144.467512,1,3
016650020001,朝日一丁目,43.484687,144.470899,1,3
016650020002,朝日二丁目,43.486877,144.469019,1,3
016650020003,朝日三丁目,43.489819,144.471961,1,3
016650020004,朝日四丁目,43.480452,144.477174,1,3
016650021001,湯の島一丁目,43.488647,144.455130,1,3
016650021002,湯の島二丁目,43.487360,144.452442,1,3
016650021003,湯の島三丁目,43.490947,144.450726,1,3
016650022001,美里一丁目,43.486992,144.448808,1,3
016650022002,美里二丁目,43.485450,144.444671,1,3
016650022003,美里三丁目,43.482536,144.438560,1,3
016650022004,美里四丁目,43.489592,144.446958,1,3
016650022005,美里五丁目,43.488253,144.441673,1,3
016650022006,美里六丁目,43.490190,144.438932,1,3
016650023001,摩周一丁目,43.499852,144.452162,1,3
016650023002,摩周二丁目,43.501156,144.455204,1,3
016650023003,摩周三丁目,43.504808,144.452660,1,3
016650024001,鈴蘭一丁目,43.490662,144.459143,1,3
016650024002,鈴蘭二丁目,43.492027,144.452421,1,3
016650024003,鈴蘭三丁目,43.494042,144.452959,1,3
016650024004,鈴蘭四丁目,43.491872,144.458717,1,3
016650024005,鈴蘭五丁目,43.492759,144.460824,1,3
016650024006,鈴蘭六丁目,43.491477,144.462158,1,3
016650025000,奥春別原野,43.439362,144.417383,0,0
016650026000,屈斜路市街,43.562649,144.343528,0,0
