大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
093440001000,大字羽仏,36.600261,140.134670,1,1
093440002000,大字塩田,36.610710,140.107843,1,1
093440003000,大字刈生田,36.589943,140.139645,1,1
093440004000,大字見上,36.612251,140.125243,1,1
093440005000,大字笹原田,36.534864,140.139242,1,1
093440006000,大字市塙,36.539701,140.113227,1,1
093440007000,大字上根,36.536431,140.081622,1,1
093440008000,大字杉山,36.580318,140.103944,1,1
093440009000,大字石下,36.525669,140.126464,1,1
093440010000,大字赤羽,36.509565,140.064437,1,1
093440011000,大字続谷,36.594441,140.122128,1,1
093440012000,大字多田羅,36.518223,140.086497,1,1
093440013000,大字大谷津,36.596981,140.098375,1,1
093440014000,大字竹内,36.621118,140.110190,1,1
093440015000,大字椎谷,36.565050,140.086123,1,1
093440016000,大字田野辺,36.570966,140.122503,1,1
093440017000,大字文谷,36.561135,140.100647,1,1
