大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
032080001000,綾織町みさ崎,39.346325,141.483852,1,1
032080002000,綾織町下綾織,39.323896,141.469441,1,1
032080003000,綾織町上綾織,39.323894,141.447304,1,1
032080004000,綾織町新里,39.330201,141.508760,1,1
032080005000,遠野町,39.315304,141.531084,1,1
032080006000,下組町,39.327248,141.517929,1,1
032080007000,宮守町下宮守,39.358215,141.344933,1,1
032080008000,宮守町下鱒沢,39.309730,141.390569,1,1
032080009000,宮守町上宮守,39.362290,141.396474,1,1
032080010000,宮守町上鱒沢,39.330989,141.499816,1,1
032080011000,宮守町達曽部,39.420350,141.380449,1,1
032080012000,穀町,39.329660,141.535519,1,1
032080013000,材木町,39.332850,141.531386,1,1
032080014000,小友町,39.255471,141.441447,1,1
032080015000,松崎町駒木,39.376394,141.564776,1,1
032080016000,松崎町光興寺,39.349009,141.526350,1,1
032080017000,松崎町松崎,39.362485,141.545758,1,1
032080018000,松崎町白岩,39.350295,141.544260,1,1
032080019000,上郷町佐比内,39.289052,141.610292,1,1
032080020000,上郷町細越,39.264592,141.610309,1,1
032080021000,上郷町板沢,39.293590,141.575610,1,1
032080022000,上郷町平倉,39.279807,141.568907,1,1
032080023000,上郷町平野原,39.271895,141.584446,1,1
032080024000,上郷町来内,39.278528,141.544553,1,1
032080025000,上組町,39.332667,141.536771,1,1
032080026000,新穀町,39.331787,141.530360,1,1
032080027000,新町,39.329470,141.524820,1,1
032080028000,青笹町糠前,39.322018,141.582560,1,1
032080029000,青笹町青笹,39.317804,141.559146,1,1
032080030000,青笹町中沢,39.310810,141.581779,1,1
032080031001,早瀬町一丁目,39.335565,141.532423,1,3
032080031002,早瀬町二丁目,39.336098,141.527262,1,3
032080031003,早瀬町三丁目,39.336966,141.522343,1,3
032080031004,早瀬町四丁目,39.338371,141.529288,1,3
032080032000,大工町,39.332477,141.524933,1,1
032080033000,中央通り,39.329690,141.529385,1,1
032080034000,土淵町山口,39.356643,141.606455,1,1
032080035000,土淵町土淵,39.361540,141.570549,1,1
032080036000,土淵町栃内,39.377370,141.610838,1,1
032080037000,土淵町柏崎,39.356875,141.594443,1,1
032080038000,土淵町飯豊,39.342162,141.589357,1,1
032080039000,東舘町,39.326801,141.532856,1,1
032080040000,東穀町,39.329329,141.537656,1,1
032080041000,東上組町,39.331762,141.541153,1,1
032080042000,附馬牛町安居台,39.390152,141.536470,1,1
032080043000,附馬牛町下附馬牛,39.417180,141.524953,1,1
032080044000,附馬牛町上附馬牛,39.469474,141.512639,1,1
032080045000,附馬牛町東禅寺,39.407246,141.490080,1,1
032080046000,六日町,39.329101,141.521180,1,1
032080047000,鶯崎町,39.328217,141.549653,1,1
