大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
452080001000,現王島,32.056025,131.425855,1,1
452080002000,片内,32.194196,131.321331,1,1
452080003000,茶臼原,32.139928,131.418960,1,1
452080004000,平郡,32.092414,131.350243,1,1
452080005000,山田,32.048843,131.353750,1,1
452080006000,荒武,32.026475,131.379946,1,1
452080007000,岩爪,32.042280,131.388361,1,1
452080008000,都於郡町,32.056286,131.378659,1,1
452080009000,加勢,32.085283,131.338600,1,1
452080010000,藤田,32.073968,131.368342,1,1
452080011000,上三財,32.066830,131.330210,1,1
452080012000,下三財,32.062782,131.357109,1,1
452080013000,寒川,32.115743,131.285228,1,1
452080014000,上揚,32.299664,131.231898,1,1
452080015000,銀鏡,32.269871,131.259398,1,1
452080016000,八重,32.233797,131.253319,1,1
452080017000,中尾,32.227830,131.290257,1,1
452080018000,尾八重,32.214503,131.328565,1,1
452080019001,聖陵町１丁目,32.110056,131.401442,1,3
452080019002,聖陵町２丁目,32.108563,131.401793,1,3
452080020001,御舟町１丁目,32.111029,131.403884,1,3
452080020002,御舟町２丁目,32.109070,131.403890,1,3
452080021001,桜川町１丁目,32.111025,131.404812,1,3
452080021002,桜川町２丁目,32.109141,131.404933,1,3
452080022000,水流崎町,32.110496,131.408716,1,1
452080023001,中央町１丁目,32.108202,131.406488,1,3
452080023002,中央町２丁目,32.108596,131.408253,1,3
452080024001,有吉町１丁目,32.107229,131.406431,1,3
452080024002,有吉町２丁目,32.106997,131.408667,1,3
452080024003,有吉町３丁目,32.107043,131.410150,1,3
452080025001,妻町１丁目,32.111312,131.406149,1,3
452080025002,妻町２丁目,32.109377,131.405731,1,3
452080025003,妻町３丁目,32.110175,131.407522,1,3
452080026000,白馬町,32.108957,131.409532,1,1
452080027001,上町１丁目,32.113229,131.406052,1,3
452080027002,上町２丁目,32.114928,131.406006,1,3
452080028001,中妻１丁目,32.112866,131.408633,1,3
452080028002,中妻２丁目,32.114822,131.407413,1,3
452080029001,旭１丁目,32.111036,131.409662,1,3
452080029002,旭２丁目,32.109319,131.410754,1,3
452080030000,下妻,32.106029,131.407558,1,1
452080031001,右松１丁目,32.104071,131.407641,1,3
452080031002,右松２丁目,32.104550,131.410313,1,3
452080031003,右松３丁目,32.102180,131.406072,1,3
452080031004,右松４丁目,32.101840,131.408193,1,3
452080031005,右松５丁目,32.102092,131.410064,1,3
452080032001,小野崎１丁目,32.106763,131.404360,1,3
452080032002,小野崎２丁目,32.104780,131.405206,1,3
452080033001,新町１丁目,32.117879,131.403879,1,3
452080033002,新町２丁目,32.120111,131.401996,1,3
452080034000,右松,32.093836,131.409540,1,1
452080035000,妻,32.106221,131.399803,1,1
452080036000,三宅,32.101201,131.394827,1,1
452080037000,清水,32.094924,131.387568,1,1
452080038000,岡富,32.078716,131.411485,1,1
452080039000,黒生野,32.067566,131.413952,1,1
452080040000,調殿,32.119656,131.407908,1,1
452080041000,童子丸,32.122851,131.398776,1,1
452080042000,穂北,32.150647,131.394025,1,1
452080043000,南方,32.134579,131.388548,1,1
452080044000,三納,32.113900,131.346826,1,1
452080045000,鹿野田,32.083839,131.386972,1,1
