大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
082230001001,あやめ一丁目,35.936133,140.548367,1,3
082230001002,あやめ二丁目,35.937937,140.552126,1,3
082230002000,永山,35.971205,140.509619,1,1
082230003000,延方,35.934242,140.605765,1,1
082230004000,延方西,35.952703,140.586155,1,1
082230005000,延方東,35.953286,140.592018,1,1
082230006000,下田,35.959309,140.595331,1,1
082230007000,釜谷,35.994010,140.559267,1,1
082230008001,宮前一丁目,35.958348,140.591298,1,3
082230008002,宮前二丁目,35.960034,140.587408,1,3
082230009000,牛堀,35.959552,140.514719,1,1
082230010000,曲松,35.951342,140.569719,1,1
082230011000,曲松南,35.948310,140.572532,1,1
082230012000,古高,35.962946,140.569582,1,1
082230013000,洲崎,35.956568,140.598707,1,1
082230014000,小泉,35.958676,140.574377,1,1
082230015000,小泉南,35.950891,140.577985,1,1
082230016000,上戸,35.956631,140.531719,1,1
082230017000,新宮,35.966997,140.582760,1,1
082230018000,新宮南,35.957405,140.583929,1,1
082230019000,須賀,35.953470,140.563998,1,1
082230020000,須賀南,35.947031,140.567102,1,1
082230021000,水原,35.985673,140.575025,1,1
082230022000,清水,35.993114,140.521426,1,1
082230023000,川尾,35.961587,140.561272,1,1
082230024000,前川,35.947813,140.600124,1,1
082230025000,大賀,35.997411,140.543745,1,1
082230026000,大山,35.963159,140.577234,1,1
082230027000,大洲,35.943368,140.571817,1,1
082230028000,大生,35.991439,140.553485,1,1
082230029001,大塚野一丁目,35.943355,140.542112,1,3
082230029002,大塚野二丁目,35.947822,140.538614,1,3
082230030000,築地,35.971075,140.552263,1,1
082230031000,潮来,35.941047,140.556550,1,1
082230032000,辻,35.954542,140.554853,1,1
082230033000,島須,35.969485,140.534097,1,1
082230034000,徳島,35.927251,140.609216,1,1
082230035001,日の出一丁目,35.933345,140.585588,1,3
082230035002,日の出二丁目,35.935448,140.578406,1,3
082230035003,日の出三丁目,35.935689,140.573380,1,3
082230035004,日の出四丁目,35.931133,140.573051,1,3
082230035005,日の出五丁目,35.927779,140.570525,1,3
082230035006,日の出六丁目,35.931964,140.569156,1,3
082230035007,日の出七丁目,35.935580,140.569587,1,3
082230035008,日の出八丁目,35.935430,140.564080,1,3
082230036000,福島,35.933238,140.594863,1,1
082230037000,米島,35.934476,140.614590,1,1
082230038000,堀之内,35.973271,140.522261,1,1
082230039000,茂木,35.988558,140.525680,1,1
