大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
073090001000,大字青木字愛宕,37.681768,140.526419,1,2
073090002000,大字青木字安浪,37.668838,140.531502,1,2
073090003000,大字青木字稲場,37.669860,140.521734,1,2
073090004000,大字青木字烏子,37.682084,140.525254,1,2
073090005000,大字青木字羽境,37.681541,140.547047,1,2
073090006000,大字青木字越田,37.684366,140.529137,1,2
073090007000,大字青木字下関ノ上,37.677589,140.544885,1,2
073090008000,大字青木字下宮,37.682251,140.533376,1,2
073090009000,大字青木字下宮向,37.680753,140.534510,1,2
073090010000,大字青木字下三水神,37.675748,140.530834,1,2
073090011000,大字青木字下山田,37.687754,140.542682,1,2
073090012000,大字青木字下柴伐田,37.683645,140.526775,1,2
073090013000,大字青木字下日ノ倉,37.687808,140.528789,1,2
073090014000,大字青木字下箱屋,37.677808,140.536197,1,2
073090015000,大字青木字下鍜治屋,37.682350,140.540658,1,2
073090016000,大字青木字河原田,37.670226,140.524376,1,2
073090017000,大字青木字回り田,37.672550,140.522436,1,2
073090018000,大字青木字外久保,37.687401,140.547070,1,2
073090019000,大字青木字外松保,37.677044,140.533635,1,2
073090020000,大字青木字柿ノ久保,37.684665,140.525652,1,2
073090021000,大字青木字笠松,37.668514,140.520702,1,2
073090022000,大字青木字割田,37.680208,140.547926,1,2
073090023000,大字青木字鴨屋敷,37.675162,140.527608,1,2
073090024000,大字青木字勘平場,37.691518,140.538534,1,2
073090025000,大字青木字関ノ上,37.676050,140.545188,1,2
073090026000,大字青木字舘向,37.673745,140.536727,1,2
073090027000,大字青木字丸森,37.679705,140.547076,1,2
073090028000,大字青木字岩塚,37.681857,140.535755,1,2
073090029000,大字青木字吉ケ作,37.671741,140.531041,1,2
073090030000,大字青木字吉久保,37.677051,140.542969,1,2
073090031000,大字青木字吉原,37.670566,140.533013,1,2
073090032000,大字青木字宮向,37.683311,140.536044,1,2
073090033000,大字青木字曲屋,37.682351,140.544726,1,2
073090034000,大字青木字熊野舘,37.680751,140.538396,1,2
073090035000,大字青木字原,37.666905,140.529127,1,2
073090036000,大字青木字戸ノ入,37.675377,140.530039,1,2
073090037000,大字青木字戸石,37.670386,140.528984,1,2
073090038000,大字青木字五反田,37.674831,140.533981,1,2
073090039000,大字青木字後鴨屋敷,37.675607,140.527518,1,2
073090040000,大字青木字後宮,37.684663,140.532091,1,2
073090041000,大字青木字御所車,37.684724,140.533455,1,2
073090042000,大字青木字向鴨屋敷,37.674524,140.528514,1,2
073090043000,大字青木字向広表,37.672197,140.528690,1,2
073090044000,大字青木字向小武木,37.683714,140.538665,1,2
073090045000,大字青木字向箱屋,37.679779,140.534002,1,2
073090046000,大字青木字広表,37.670421,140.526799,1,2
073090047000,大字青木字荒井,37.679789,140.543344,1,2
073090048000,大字青木字荒屋敷,37.675456,140.532191,1,2
073090049000,大字青木字高田,37.672790,140.527564,1,2
073090050000,大字青木字黒内,37.711790,140.520005,1,2
073090051000,大字青木字才ノ神,37.684555,140.536701,1,2
073090052000,大字青木字才ノ内,37.685842,140.538325,1,2
073090053000,大字青木字作田,37.686532,140.546002,1,2
073090054000,大字青木字桜ヶ作,37.666876,140.524545,1,2
073090055000,大字青木字三水神,37.677040,140.529401,1,2
073090056000,大字青木字山ノ神,37.684947,140.534883,1,2
073090057000,大字青木字七曲,37.707438,140.545651,1,2
073090058000,大字青木字小屋舘,37.680934,140.531118,1,2
073090059000,大字青木字小手神森,37.690341,140.536123,1,2
073090060000,大字青木字小倉,37.701957,140.543135,1,2
073090061000,大字青木字小武木,37.682556,140.537130,1,2
073090062000,大字青木字松保,37.676747,140.532215,1,2
073090063000,大字青木字菖蒲田,37.673812,140.542282,1,2
073090064000,大字青木字上安浪,37.670283,140.536230,1,2
073090065000,大字青木字上越田,37.683005,140.530303,1,2
073090066000,大字青木字上回り田,37.673880,140.520862,1,2
073090067000,大字青木字上吉原,37.672284,140.533441,1,2
