大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
033660001000,芦ヶ沢７２地割,39.332283,140.727204,1,2
033660002000,越中畑６４地割,39.296427,140.722579,1,2
033660003000,越中畑６５地割,39.302034,140.715187,1,2
033660004000,越中畑６６地割,39.303749,140.721288,1,2
033660005000,下左草７７地割,39.344153,140.734582,1,2
033660006000,下左草７８地割,39.338991,140.737775,1,2
033660007000,下左草７９地割,39.347830,140.749954,1,2
033660008000,下左草８０地割,39.356993,140.742227,1,2
033660009000,下前１０地割,39.375955,140.729295,1,2
033660010000,下前１１地割,39.376155,140.735997,1,2
033660011000,下前１２地割,39.373562,140.738756,1,2
033660012000,下前１３地割,39.371058,140.731400,1,2
033660013000,下前１４地割,39.386393,140.725435,1,2
033660014000,下前７地割,39.377037,140.714173,1,2
033660015000,下前８地割,39.386652,140.709553,1,2
033660016000,下前９地割,39.378779,140.725456,1,2
033660017000,樺沢１６地割,39.369192,140.744998,1,2
033660018000,樺沢１７地割,39.362794,140.746774,1,2
033660019000,間木野２４地割,39.335109,140.766809,1,2
033660020000,桂子沢７５地割,39.338639,140.722808,1,2
033660021000,桂子沢７６地割,39.344326,140.722577,1,2
033660022000,穴明２２地割,39.345385,140.757527,1,2
033660023000,穴明２３地割,39.335143,140.751225,1,2
033660024000,甲子５１地割,39.282829,140.816754,1,2
033660025000,左草１地割,39.359593,140.732809,1,2
033660026000,左草２地割,39.367940,140.724248,1,2
033660027000,左草３地割,39.356939,140.726733,1,2
033660028000,左草４地割,39.353144,140.726283,1,2
033660029000,左草５地割,39.363761,140.712970,1,2
033660030000,左草６地割,39.369720,140.714507,1,2
033660031000,細内６８地割,39.311332,140.726949,1,2
033660032000,細内６９地割,39.315324,140.724639,1,2
033660033000,耳取４９地割,39.285956,140.829712,1,2
033660034000,小繋沢５４地割,39.300028,140.760387,1,2
033660035000,小繋沢５５地割,39.308580,140.752409,1,2
033660036000,小繋沢５６地割,39.320003,140.756696,1,2
033660037000,上野々３８地割,39.309581,140.789904,1,2
033660038000,上野々３９地割,39.305789,140.775470,1,2
033660039000,杉名畑４４地割,39.282190,140.876197,1,2
033660040000,杉名畑４５地割,39.295027,140.862185,1,2
033660041000,清水ヶ野１８地割,39.364482,140.760263,1,2
033660042000,川尻４０地割,39.321217,140.769213,1,2
033660043000,川尻４１地割,39.321494,140.797780,1,2
033660044000,巣郷６３地割,39.275060,140.727328,1,2
033660045000,草井沢４７地割,39.263364,140.836230,1,2
033660046000,大沓３６地割,39.326639,140.789489,1,2
033660047000,大石４３地割,39.307395,140.821405,1,2
033660048000,大渡５７地割,39.312691,140.742245,1,2
033660049000,沢中７３地割,39.331179,140.739493,1,2
033660050000,沢中７４地割,39.326191,140.748655,1,2
033660051000,沢内字猿橋,39.459769,140.766697,1,2
033660052000,沢内字貝沢,39.555008,140.844217,1,2
033660053000,沢内字若畑,39.511455,140.825644,1,2
033660054000,沢内字新町,39.397816,140.759690,1,2
033660055000,沢内字泉沢,39.465880,140.781680,1,2
033660056000,沢内字前郷,39.407350,140.756830,1,2
033660057000,沢内字太田,39.432732,140.741176,1,2
033660058000,沢内字大野,39.382968,140.755001,1,2
033660059000,中村５８地割,39.294432,140.729428,1,2
033660060000,中村５９地割,39.292943,140.736868,1,2
033660061000,槻沢２５地割,39.360055,140.767808,1,2
033660062000,槻沢２６地割,39.366884,140.773494,1,2
033660063000,槻沢２７地割,39.360524,140.776554,1,2
033660064000,槻沢２８地割,39.354752,140.778733,1,2
033660065000,湯川５２地割,39.282094,140.779159,1,2
033660066000,湯川５３地割,39.278090,140.763647,1,2
033660067000,湯田１９地割,39.355333,140.752899,1,2
033660068000,湯田２０地割,39.352475,140.759736,1,2
033660069000,湯田２１地割,39.348179,140.767025,1,2
033660070000,湯之沢３１地割,39.341440,140.779474,1,2
033660071000,湯之沢３２地割,39.367928,140.800966,1,2
033660072000,湯之沢３３地割,39.361816,140.805086,1,2
033660073000,湯之沢３４地割,39.351819,140.796589,1,2
033660074000,湯之沢３５地割,39.335016,140.791888,1,2
033660075000,湯本２９地割,39.350556,140.776317,1,2
033660076000,湯本３０地割,39.345516,140.778077,1,2
033660077000,寅沢１５地割,39.376516,140.747699,1,2
033660078000,白木野６７地割,39.308063,140.725620,1,2
033660079000,本屋敷４８地割,39.260653,140.851266,1,2
033660080000,本内４６地割,39.292110,140.848217,1,2
033660081000,無地内４２地割,39.316026,140.807602,1,2
033660082000,野々宿６０地割,39.282690,140.740894,1,2
033660083000,野々宿６１地割,39.270504,140.742690,1,2
033660084000,野々宿６２地割,39.285163,140.722590,1,2
033660085000,柳沢７０地割,39.320746,140.741806,1,2
033660086000,柳沢７１地割,39.325112,140.725873,1,2
033660087000,鷲之巣５０地割,39.283200,140.802956,1,2
