大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
372040001000,下吉田町,34.244163,133.772758,1,1
372040002000,稲木町,34.243320,133.778750,1,1
372040003000,上吉田町,34.233961,133.789398,1,1
372040004000,生野町,34.223134,133.790522,1,1
372040005000,大麻町,34.208423,133.803031,1,1
372040006000,善通寺町,34.217020,133.770393,1,1
372040007000,櫛梨町,34.221029,133.802912,1,1
372040008000,与北町,34.228248,133.802503,1,1
372040009000,木徳町,34.242933,133.803083,1,1
372040010000,原田町,34.250670,133.793624,1,1
372040011000,金蔵寺町,34.248392,133.781794,1,1
372040012000,中村町,34.238226,133.769428,1,1
372040013000,弘田町,34.235077,133.762987,1,1
372040014000,吉原町,34.231811,133.745348,1,1
372040015000,碑殿町,34.227963,133.737163,1,1
372040016001,文京町一丁目,34.228706,133.788597,1,3
372040016002,文京町二丁目,34.227098,133.786384,1,3
372040016003,文京町三丁目,34.226526,133.783137,1,3
372040016004,文京町四丁目,34.223454,133.779960,1,3
372040017001,生野本町一丁目,34.226457,133.789160,1,3
372040017002,生野本町二丁目,34.224212,133.785415,1,3
372040018001,南町一丁目,34.222062,133.780713,1,3
372040018002,南町二丁目,34.221992,133.776536,1,3
372040018003,南町三丁目,34.223527,133.775669,1,3
372040019001,仙遊町一丁目,34.230294,133.773605,1,3
372040019002,仙遊町二丁目,34.229485,133.768856,1,3
372040020001,中村町一丁目,34.231469,133.769834,1,3
372040021001,上吉田町一丁目,34.230268,133.786922,1,3
372040021002,上吉田町二丁目,34.229038,133.784055,1,3
372040021003,上吉田町三丁目,34.228145,133.781777,1,3
372040021004,上吉田町四丁目,34.229224,133.781010,1,3
372040021005,上吉田町五丁目,34.230524,133.782702,1,3
372040021006,上吉田町六丁目,34.231718,133.785745,1,3
372040021007,上吉田町七丁目,34.234377,133.783479,1,3
372040021008,上吉田町八丁目,34.232085,133.779518,1,3
372040022001,善通寺町一丁目,34.227114,133.779191,1,3
372040022002,善通寺町二丁目,34.226187,133.778025,1,3
372040022003,善通寺町三丁目,34.226149,133.774452,1,3
372040022004,善通寺町四丁目,34.227055,133.772623,1,3
372040022005,善通寺町五丁目,34.227742,133.774497,1,3
372040022006,善通寺町六丁目,34.228598,133.776583,1,3
372040022007,善通寺町七丁目,34.228499,133.778420,1,3
