大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
016100001001,静内こうせい町一丁目,42.344838,142.373998,1,3
016100001002,静内こうせい町二丁目,42.347123,142.369944,1,3
016100001003,静内こうせい町三丁目,42.349331,142.367031,1,3
016100002001,静内ときわ町一丁目,42.344454,142.366509,1,3
016100002002,静内ときわ町二丁目,42.344952,142.369263,1,3
016100002003,静内ときわ町三丁目,42.346112,142.366573,1,3
016100002004,静内ときわ町四丁目,42.346379,142.363881,1,3
016100003001,静内旭町一丁目,42.345945,142.378058,1,3
016100004001,静内海岸町一丁目,42.334790,142.362192,1,3
016100004002,静内海岸町二丁目,42.339158,142.352063,1,3
016100005001,静内吉野町一丁目,42.337550,142.366940,1,3
016100005002,静内吉野町二丁目,42.338453,142.367930,1,3
016100005003,静内吉野町三丁目,42.339033,142.369163,1,3
016100005004,静内吉野町四丁目,42.340068,142.370231,1,3
016100006000,静内駒場,42.346469,142.343255,1,1
016100007001,静内古川町一丁目,42.334964,142.366309,1,3
016100007002,静内古川町二丁目,42.332813,142.367614,1,3
016100008001,静内御幸町一丁目,42.339255,142.364297,1,3
016100008002,静内御幸町二丁目,42.340080,142.366414,1,3
016100008003,静内御幸町三丁目,42.340729,142.368087,1,3
016100008004,静内御幸町四丁目,42.342091,142.366241,1,3
016100008005,静内御幸町五丁目,42.342212,142.368919,1,3
016100008006,静内御幸町六丁目,42.343385,142.370616,1,3
016100009001,静内高砂町一丁目,42.347719,142.362308,1,3
016100009002,静内高砂町二丁目,42.349508,142.360377,1,3
016100009003,静内高砂町三丁目,42.351640,142.364259,1,3
016100010001,静内山手町一丁目,42.342760,142.362741,1,3
016100010002,静内山手町二丁目,42.344333,142.360687,1,3
016100010003,静内山手町三丁目,42.345498,142.359437,1,3
016100010004,静内山手町四丁目,42.346465,142.357825,1,3
016100010005,静内山手町五丁目,42.346319,142.354490,1,3
016100011000,静内神森,42.358522,142.386952,1,1
016100012000,静内清水丘,42.362792,142.368727,1,1
016100013001,静内青柳町一丁目,42.336065,142.368693,1,3
016100013002,静内青柳町二丁目,42.334429,142.370585,1,3
016100013003,静内青柳町三丁目,42.337342,142.371024,1,3
016100013004,静内青柳町四丁目,42.336839,142.373516,1,3
016100014001,静内中野町一丁目,42.349961,142.374202,1,3
016100014002,静内中野町二丁目,42.352348,142.371229,1,3
016100015000,静内柏台,42.350812,142.348927,1,1
016100016001,静内本町一丁目,42.337320,142.365553,1,3
016100016002,静内本町二丁目,42.337192,142.364220,1,3
016100016003,静内本町三丁目,42.337014,142.362531,1,3
016100016004,静内本町四丁目,42.338132,142.361256,1,3
016100016005,静内本町五丁目,42.337771,142.357734,1,3
016100017001,静内末広町一丁目,42.342940,142.357788,1,3
016100017002,静内末広町二丁目,42.343128,142.354264,1,3
016100017003,静内末広町三丁目,42.342819,142.350571,1,3
016100018001,静内木場町一丁目,42.340682,142.358183,1,3
016100018002,静内木場町二丁目,42.340739,142.352253,1,3
016100019001,静内緑町一丁目,42.342249,142.372704,1,3
016100019002,静内緑町二丁目,42.341297,142.372087,1,3
016100019003,静内緑町三丁目,42.338733,142.372293,1,3
016100019004,静内緑町四丁目,42.339387,142.374635,1,3
016100019005,静内緑町五丁目,42.342902,142.373985,1,3
016100019006,静内緑町六丁目,42.341463,142.375970,1,3
016100019007,静内緑町七丁目,42.339535,142.376681,1,3
016100019008,静内緑町八丁目,42.342334,142.378476,1,3
016100020000,三石鳧舞,42.232370,142.619104,0,0
016100021000,三石東蓬莱,42.248309,142.588655,0,0
016100022000,三石美野和,42.238296,142.655684,0,0
016100023000,三石清瀬,42.372498,142.749170,0,0
016100024000,三石美河,42.406768,142.684005,0,0
016100025000,三石富澤,42.350022,142.618522,0,0
016100026000,三石豊岡,42.288675,142.586488,0,0
016100027000,三石西蓬莱,42.264249,142.572919,0,0
016100028000,三石港町,42.260367,142.541040,0,0
016100029000,三石越海町,42.261826,142.527439,0,0
016100030000,三石福畑,42.317429,142.650761,0,0
016100031000,三石蓬栄,42.265081,142.607477,0,0
016100032000,三石川上,42.322790,142.698501,0,0
016100033000,三石稲見,42.288670,142.725268,0,0
016100034000,三石歌笛,42.269249,142.678748,0,0
016100035000,三石本桐,42.272083,142.644738,0,0
016100036000,三石西端,42.286621,142.553158,0,0
016100037000,三石本町,42.261184,142.552484,0,0
016100038000,三石旭町,42.253827,142.564949,0,0
