大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
272030001001,赤阪一丁目,34.787443,135.476482,2,3
272030002000,旭丘,34.784433,135.480240,2,1
272030003000,石橋麻田町,34.810654,135.448443,2,1
272030004001,稲津町一丁目,34.755660,135.475643,2,3
272030004002,稲津町二丁目,34.756593,135.477556,2,3
272030004003,稲津町三丁目,34.754150,135.478724,2,3
272030005000,今在家町,34.753566,135.458883,2,1
272030006001,上野西一丁目,34.791253,135.471107,2,3
272030006002,上野西二丁目,34.794959,135.468959,2,3
272030006003,上野西三丁目,34.798525,135.470107,2,3
272030006004,上野西四丁目,34.798075,135.466648,2,3
272030007001,上野東一丁目,34.790554,135.475320,2,3
272030007002,上野東二丁目,34.793727,135.475839,2,3
272030007003,上野東三丁目,34.797562,135.473675,2,3
272030008001,上野坂一丁目,34.799872,135.475106,2,3
272030008002,上野坂二丁目,34.802105,135.474532,2,3
272030009001,永楽荘一丁目,34.812149,135.465143,2,3
272030009002,永楽荘二丁目,34.813596,135.467184,2,3
272030009003,永楽荘三丁目,34.816173,135.469568,2,3
272030009004,永楽荘四丁目,34.818666,135.471723,2,3
272030010001,大島町一丁目,34.736420,135.465864,2,3
272030010002,大島町二丁目,34.735660,135.467768,2,3
272030010003,大島町三丁目,34.733832,135.465695,2,3
272030011001,岡上の町一丁目,34.783354,135.465450,2,3
272030011002,岡上の町二丁目,34.784868,135.464423,2,3
272030011003,岡上の町三丁目,34.785471,135.463865,2,3
272030011004,岡上の町四丁目,34.786173,135.466009,2,3
272030012000,岡町,34.781084,135.465529,2,1
272030013001,岡町北一丁目,34.779256,135.462782,2,3
272030013002,岡町北二丁目,34.779309,135.460325,2,3
272030013003,岡町北三丁目,34.781097,135.462268,2,3
272030014001,岡町南一丁目,34.776940,135.464800,2,3
272030014002,岡町南二丁目,34.776538,135.462836,2,3
272030014003,岡町南三丁目,34.775842,135.459782,2,3
272030015001,小曽根一丁目,34.761114,135.484838,2,3
272030015002,小曽根二丁目,34.762380,135.487266,2,3
272030015003,小曽根三丁目,34.758508,135.485840,2,3
272030015004,小曽根四丁目,34.755452,135.484672,2,3
