大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
053610001000,稲荷前,39.954359,140.118637,1,1
053610002000,羽黒前,39.954015,140.125324,1,1
053610003000,鵜ノ木,39.943405,140.117590,1,1
053610004000,浦横町字家ノ上,39.965655,140.101035,1,2
053610005000,浦横町字舘ノ下,39.967659,140.096558,1,2
053610006000,浦横町字山際道ノ下,39.962209,140.099794,1,2
053610007000,浦横町字盛山下,39.963175,140.100997,1,2
053610008000,浦横町字大堰西,39.961593,140.092900,1,2
053610009000,浦横町字碇堰,39.962374,140.097467,1,2
053610010000,浦横町字碇尻,39.958509,140.095459,1,2
053610011000,浦横町字畷ノ間,39.962190,140.095458,1,2
053610012000,浦大町字小立花,39.967611,140.098037,1,2
053610013000,浦大町字鐙沢,39.967025,140.099936,1,2
053610014000,下タ町,39.946220,140.119607,1,1
053610015000,高崎字岡谷地,39.939165,140.139787,1,2
053610016000,高崎字下川原,39.937982,140.131692,1,2
053610020000,高崎字熊野台,39.936745,140.135689,1,2
053610022000,高崎字行内沢,39.937407,140.151738,1,2
053610025000,高崎字佐戸,39.934102,140.134520,1,2
053610026000,高崎字小沼,39.941356,140.131786,1,2
053610028000,高崎字雀舘下川原,39.941585,140.123957,1,2
053610031000,高崎字前田,39.936577,140.132205,1,2
053610033000,高崎字中川原,39.945563,140.127270,1,2
053610034000,高崎字中泉田,39.935545,140.123658,1,2
053610035000,高崎字田中,39.939301,140.127768,1,2
053610036000,高崎字白籏,39.936783,140.140422,1,2
053610037000,高崎字八田,39.937991,140.125985,1,2
053610039000,高崎字里下,39.943159,140.127843,1,2
053610041000,七倉,39.946773,140.114315,1,1
053610042000,小池字岡本下台,39.948655,140.109316,1,2
053610043000,小池字岡本家ノ下,39.955050,140.101352,1,2
053610044000,小池字岡本杉ノ下,39.957863,140.098140,1,2
053610045000,小池字開防,39.947514,140.102802,1,2
053610046000,小池字桑ノ木関ノ沢,39.954826,140.097272,1,2
053610047000,小池字森山下,39.956581,140.108081,1,2
053610048000,上町,39.941135,140.118334,1,1
053610049000,上樋口字沖,39.937027,140.112442,1,2
053610050000,上樋口字屋岸,39.938996,140.114896,1,2
053610051000,上樋口字下川原,39.940495,140.110565,1,2
053610052000,上樋口字熊野堂下,39.932662,140.110962,1,2
053610053000,上樋口字向川原,39.943038,140.113468,1,2
053610054000,上樋口字山田沢,39.925844,140.122882,1,2
053610055000,上樋口字樽沢,39.933329,140.119785,1,2
053610056000,上樋口字中川原,39.940093,140.119342,1,2
053610057000,上樋口字中谷地,39.934496,140.112194,1,2
053610058000,上樋口字槻ノ木,39.936155,140.115862,1,2
053610059000,上樋口字堂社,39.938916,140.122063,1,2
053610060000,上樋口字鳩ヶ崎,39.929384,140.109596,1,2
053610061000,神明前,39.951204,140.116005,1,1
053610063000,石田六ケ村堰添,39.949101,140.123245,1,1
053610064000,川崎字宮花,39.945863,140.106971,1,2
