大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
015470001000,字もこと山,43.746346,144.442319,1,2
015470002000,字旭,43.876980,144.534231,1,2
015470003000,字萱野,43.854402,144.496085,1,2
015470004000,字共和,43.837735,144.444472,1,2
015470005000,字止別,43.903122,144.534756,1,2
015470006000,字小清水,43.857510,144.469702,1,2
015470007000,字上徳,43.805677,144.441380,1,2
015470008000,字神浦,43.840733,144.407529,1,2
015470009000,字水上,43.796145,144.496647,1,2
015470010000,字泉,43.831095,144.489006,1,2
015470011000,字倉栄,43.897890,144.454043,1,2
015470012000,字中里,43.879437,144.490943,1,2
015470013000,字東野,43.846754,144.533243,1,2
015470014000,字美和,43.877566,144.454166,1,2
015470015000,字浜小清水,43.922315,144.449716,1,2
015470016000,字北斗,43.908094,144.491804,1,2
