大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
014250001000,上砂川,43.467582,141.987926,1,2
014250002000,字上砂川町,43.450986,142.004967,1,2
014250003000,西山,43.472383,142.010912,1,2
014250004001,朝駒一条一丁目,43.478337,141.989949,0,0
014250004002,朝駒一条二丁目,43.477302,141.988321,0,0
014250004003,朝駒一条三丁目,43.478224,141.986207,0,0
014250004004,朝駒一条四丁目,43.478835,141.984110,0,0
014250005001,朝駒二条一丁目,43.477116,141.989672,0,0
014250005002,朝駒二条二丁目,43.475529,141.988893,0,0
014250005003,朝駒二条三丁目,43.475655,141.985804,0,0
014250006000,中町,43.467397,142.001462,0,0
014250007000,本町,43.469854,141.994814,0,0
014250008001,朝駒三条一丁目,43.473944,141.988972,0,0
014250008002,朝駒三条二丁目,43.474926,141.988114,0,0
014250009001,鶉本町北一丁目,43.482466,141.968549,0,0
014250009002,鶉本町北二丁目,43.482389,141.962036,0,0
014250009003,鶉本町北三丁目,43.482396,141.960513,0,0
014250009004,鶉本町北四丁目,43.482649,141.956868,0,0
014250010002,鶉三条二丁目,43.479617,141.970538,0,0
014250010003,鶉三条三丁目,43.479383,141.968742,0,0
014250010004,鶉三条四丁目,43.479232,141.965885,0,0
014250011001,鶉五条一丁目,43.476085,141.979705,0,0
014250011002,鶉五条二丁目,43.478225,141.971285,0,0
014250011003,鶉五条三丁目,43.477839,141.968668,0,0
014250012001,下鶉南一条一丁目,43.481637,141.952909,0,0
014250012002,下鶉南一条二丁目,43.481270,141.949994,0,0
014250012003,下鶉南一条三丁目,43.481275,141.947830,0,0
014250013001,下鶉北一丁目,43.482552,141.954145,0,0
014250013002,下鶉北二丁目,43.481990,141.949597,0,0
014250013003,下鶉北三丁目,43.481907,141.947778,0,0
014250014001,下鶉南二条一丁目,43.480567,141.953075,0,0
014250014002,下鶉南二条二丁目,43.480456,141.950165,0,0
014250014003,下鶉南二条三丁目,43.480339,141.947809,0,0
014250015001,下鶉南四条一丁目,43.478376,141.953321,0,0
014250016001,下鶉南三条一丁目,43.479622,141.954006,0,0
014250016002,下鶉南三条二丁目,43.479490,141.950642,0,0
014250017001,下鶉東一丁目,43.480843,141.956733,0,0
014250017002,下鶉東二丁目,43.479071,141.957659,0,0
014250018001,鶉本町南一丁目,43.481953,141.964910,0,0
014250018002,鶉本町南二丁目,43.480604,141.959384,0,0
014250019001,緑が丘四条一丁目,43.477660,141.963309,0,0
014250019002,緑が丘四条二丁目,43.477966,141.961925,0,0
014250019003,緑が丘四条三丁目,43.477802,141.960318,0,0
014250020001,緑が丘西一丁目,43.479589,141.960680,0,0
014250020002,緑が丘西二丁目,43.478707,141.959879,0,0
014250021001,緑が丘三条一丁目,43.478136,141.964197,0,0
014250022002,鶉四条二丁目,43.479074,141.973330,0,0
014250022003,鶉四条三丁目,43.477823,141.967260,0,0
014250023001,緑が丘一条一丁目,43.480930,141.963087,0,0
014250024001,緑が丘二条一丁目,43.479891,141.962831,0,0
014250025001,鶉一条一丁目,43.481350,141.973433,0,0
014250025002,鶉一条二丁目,43.481303,141.969982,0,0
014250025003,鶉一条三丁目,43.481316,141.967734,0,0
014250025004,鶉一条四丁目,43.481320,141.966436,0,0
014250026001,鶉二条一丁目,43.480435,141.974997,0,0
014250026002,鶉二条二丁目,43.480147,141.971076,0,0
014250026003,鶉二条三丁目,43.480071,141.967920,0,0
014250026004,鶉二条四丁目,43.480082,141.966178,0,0
014250027001,東鶉北一条一丁目,43.483250,141.980585,0,0
014250027002,東鶉北一条二丁目,43.483132,141.979172,0,0
014250027003,東鶉北一条三丁目,43.483047,141.977077,0,0
014250027004,東鶉北一条四丁目,43.482772,141.973683,0,0
014250027005,東鶉北一条五丁目,43.482506,141.971841,0,0
014250028001,東鶉南一条一丁目,43.482700,141.980499,0,0
014250028002,東鶉南一条二丁目,43.482584,141.979199,0,0
014250028003,東鶉南一条三丁目,43.482521,141.976883,0,0
014250028004,東鶉南一条四丁目,43.480818,141.975885,0,0
