大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
231040001002,数寄屋町二丁目,35.189099,136.896192,3,3
231040002000,西志賀町,35.198740,136.890914,3,1
231040003001,樋ノ口町一丁目,35.183434,136.895650,3,3
231040003002,樋ノ口町二丁目,35.184940,136.895581,3,3
231040004000,山田町,35.214486,136.888117,3,1
231040005000,赤城町,35.224012,136.888430,3,1
231040006000,あし原町,35.210652,136.864245,3,1
231040007001,天塚町一丁目,35.200366,136.895963,3,3
231040007002,天塚町二丁目,35.200355,136.894785,3,3
231040007003,天塚町三丁目,35.200970,136.894206,3,3
231040007004,天塚町四丁目,35.201053,136.892361,3,3
231040008000,新木町,35.216501,136.860270,3,1
231040009000,市場木町,35.217242,136.888687,3,1
231040010001,稲生町一丁目,35.208652,136.899219,3,3
231040010002,稲生町二丁目,35.208644,136.898051,3,3
231040010003,稲生町三丁目,35.208774,136.896396,3,3
231040010004,稲生町四丁目,35.209584,136.895014,3,3
231040010005,稲生町五丁目,35.209448,136.893774,3,3
231040010006,稲生町六丁目,35.209211,136.892861,3,3
231040010007,稲生町七丁目,35.209634,136.892093,3,3
231040011000,浮野町,35.227164,136.858024,3,1
231040012000,牛島町,35.176208,136.880123,3,1
231040013000,歌里町,35.220718,136.892098,3,1
231040014001,江向町一丁目,35.206870,136.899310,3,3
231040014002,江向町二丁目,35.206899,136.897420,3,3
231040014003,江向町三丁目,35.207021,136.896230,3,3
231040014004,江向町四丁目,35.207205,136.894834,3,3
231040014005,江向町五丁目,35.206921,136.893907,3,3
231040014006,江向町六丁目,35.207188,136.892780,3,3
231040015000,円明町,35.228758,136.873083,3,1
231040016001,大金町一丁目,35.203542,136.887204,3,3
231040016002,大金町二丁目,35.204149,136.887728,3,3
231040016003,大金町三丁目,35.204458,136.887830,3,3
231040016004,大金町四丁目,35.204918,136.888281,3,3
231040016005,大金町五丁目,35.205383,136.888804,3,3
231040017001,大野木一丁目,35.216755,136.892096,3,3
231040017002,大野木二丁目,35.218365,136.897284,3,3
231040017003,大野木三丁目,35.219518,136.897975,3,3
231040017004,大野木四丁目,35.221715,136.897635,3,3
231040017005,大野木五丁目,35.223604,136.897823,3,3
231040018001,押切一丁目,35.185761,136.885231,3,3
231040018002,押切二丁目,35.187870,136.884975,3,3
231040019001,貝田町一丁目,35.201545,136.899681,3,3
231040019002,貝田町二丁目,35.200627,136.897759,3,3
231040020001,笠取町一丁目,35.198578,136.887239,3,3
231040020002,笠取町二丁目,35.199160,136.889022,3,3
231040020003,笠取町三丁目,35.200468,136.889366,3,3
231040020004,笠取町四丁目,35.200519,136.884735,3,3
231040021001,上小田井一丁目,35.216102,136.878925,3,3
231040021002,上小田井二丁目,35.220267,136.877260,3,3
231040022001,上名古屋一丁目,35.193364,136.896753,3,3
231040022002,上名古屋二丁目,35.193412,136.891736,3,3
231040022003,上名古屋三丁目,35.194878,136.893560,3,3
231040022004,上名古屋四丁目,35.196250,136.897830,3,3
231040023000,上橋町,35.223692,136.861886,3,1
231040024001,上堀越町一丁目,35.205361,136.882368,3,3
231040024002,上堀越町二丁目,35.205488,136.880842,3,3
231040024003,上堀越町三丁目,35.204496,136.879673,3,3
231040024004,上堀越町四丁目,35.204017,136.878723,3,3
231040025001,菊井一丁目,35.183563,136.885271,3,3
231040025002,菊井二丁目,35.179096,136.882579,3,3
231040026000,貴生町,35.223950,136.875954,3,1
231040027000,木前町,35.221749,136.865204,3,1
