大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
053480001000,芦崎字芦崎,40.078835,139.968029,1,2
053480002000,芦崎字芦谷地,40.072182,139.968232,1,2
053480003000,芦崎字屋布台,40.074717,139.961932,1,2
053480004000,芦崎字花谷地,40.069022,139.970736,1,2
053480005000,芦崎字砂間沢,40.070234,139.963740,1,2
053480006000,芦崎字笹山,40.078385,139.953917,1,2
053480007000,芦崎字太郎沢,40.072949,139.953296,1,2
053480008000,芦崎字大谷地,40.067448,139.961346,1,2
053480009000,芦崎字追泊,40.061771,139.956877,1,2
053480010000,芦崎字入口,40.081249,139.972587,1,2
053480011000,芦崎字入口岱,40.082733,139.958337,1,2
053480012000,芦崎字柳沢,40.082275,139.971651,1,2
053480013000,鵜川字一村竹,40.103876,140.015787,1,2
053480014000,鵜川字下笠岡,40.100758,140.029649,1,2
053480015000,鵜川字下大沢,40.104435,140.035982,1,2
053480016000,鵜川字下八沢,40.124453,140.037384,1,2
053480017000,鵜川字家の下,40.096398,140.023974,1,2
053480018000,鵜川字鴨の子台,40.121241,140.011893,1,2
053480019000,鵜川字萱刈沢,40.114005,140.006622,1,2
053480020000,鵜川字萱刈沢西谷地,40.119515,140.001852,1,2
053480021000,鵜川字萱刈沢昼根下,40.118562,139.999467,1,2
053480022000,鵜川字館の上,40.102502,140.019092,1,2
053480023000,鵜川字岩谷子,40.102559,140.004295,1,2
053480024000,鵜川字宮の上,40.123013,140.030777,1,2
053480025000,鵜川字宮比台,40.102465,140.015105,1,2
053480026000,鵜川字古川添,40.090814,140.023011,1,2
053480027000,鵜川字向中渡,40.114279,140.016595,1,2
053480028000,鵜川字笹台,40.127111,140.027357,1,2
053480029000,鵜川字十八坂,40.112740,140.030723,1,2
053480030000,鵜川字沼の台,40.106924,140.011638,1,2
053480031000,鵜川字上笠岡,40.100318,140.036151,1,2
053480032000,鵜川字上大沢,40.110029,140.040186,1,2
053480033000,鵜川字上谷地,40.098838,140.031309,1,2
053480034000,鵜川字上八沢,40.128679,140.031122,1,2
053480035000,鵜川字雛沢,40.122681,140.019924,1,2
053480036000,鵜川字西鵜の巣,40.104372,140.029802,1,2
053480037000,鵜川字西鵜川,40.097834,140.025023,1,2
053480038000,鵜川字西家の下,40.104905,140.003998,1,2
053480039000,鵜川字西滝の沢,40.118479,140.015938,1,2
053480040000,鵜川字西鳥屋場,40.114549,140.021294,1,2
053480041000,鵜川字大曲,40.105310,140.007414,1,2
053480042000,鵜川字大曲家の上,40.105502,140.010218,1,2
053480043000,鵜川字大曲東家の下,40.102764,140.010713,1,2
053480044000,鵜川字谷地の上,40.118653,140.006549,1,2
053480045000,鵜川字中渡,40.111840,140.016256,1,2
053480046000,鵜川字昼根下,40.091398,140.030590,1,2
053480047000,鵜川字田中,40.100857,140.024986,1,2
053480048000,鵜川字東鵜の巣,40.105903,140.033991,1,2
053480049000,鵜川字東鵜川,40.092647,140.034480,1,2
053480050000,鵜川字東花面,40.096135,140.014547,1,2
053480051000,鵜川字東滝の沢,40.118726,140.020689,1,2
053480052000,鵜川字東谷地,40.117515,140.003650,1,2
053480053000,鵜川字東鳥屋場,40.112973,140.024179,1,2
053480054000,鵜川字内田,40.101047,140.017440,1,2
053480055000,鵜川字南台,40.110446,140.009008,1,2
053480056000,鵜川字八幡台,40.119968,140.009230,1,2
053480057000,鵜川字帆出,40.111183,140.003274,1,2
053480058000,鵜川字帆出山の上,40.110737,140.006125,1,2
053480059000,鵜川字飯塚,40.120084,140.036942,1,2
053480060000,鵜川字飯塚台,40.125650,140.032508,1,2
053480061000,鵜川字苗代沢,40.108546,140.026219,1,2
053480062000,鵜川字苗代沢台,40.108736,140.022419,1,2
053480063000,鵜川字舞台沢,40.119668,140.030702,1,2
053480064000,鵜川字舞台沢上台,40.124533,140.024582,1,2
053480065000,鵜川字舞台沢西台,40.118119,140.025731,1,2
053480066000,鵜川字又五郎沢,40.109119,140.013447,1,2
053480067000,鵜川字無頭,40.110565,140.001764,1,2
053480068000,鵜川字餅の沢,40.115199,140.035458,1,2
053480069000,鵜川字夕日沢,40.106064,140.021253,1,2
053480070000,鵜川字夕日沢台,40.107972,140.020715,1,2
053480071000,下岩川字伊勢台,40.090500,140.128558,1,2
053480072000,下岩川字卯ノ沢,40.121552,140.140570,1,2
053480073000,下岩川字鵜木ノ沢,40.115454,140.169452,1,2
053480074000,下岩川字下赤川,40.083974,140.144720,1,2
053480075000,下岩川字下添畑,40.079590,140.157988,1,2
053480076000,下岩川字蟹子沢,40.065476,140.142201,1,2
053480077000,下岩川字外ノ沢,40.071582,140.132611,1,2
053480078000,下岩川字刈初沢,40.069847,140.152029,1,2
053480079000,下岩川字館ノ下,40.094255,140.138536,1,2
053480080000,下岩川字岩見沢,40.060615,140.141190,1,2
053480081000,下岩川字宮ノ目,40.076445,140.150589,1,2
053480082000,下岩川字宮ノ目下川原,40.077845,140.145674,1,2
053480083000,下岩川字芹沢,40.096003,140.113911,1,2
053480084000,下岩川字金山,40.094524,140.110026,1,2
053480085000,下岩川字御忠進,40.090250,140.133114,1,2
053480086000,下岩川字向達子,40.088826,140.124244,1,2
053480087000,下岩川字黒沢,40.107537,140.137010,1,2
053480088000,下岩川字今泉,40.100230,140.125226,1,2
053480089000,下岩川字根小屋沢,40.058425,140.131046,1,2
053480090000,下岩川字三ツ石,40.092334,140.118983,1,2
053480091000,下岩川字十二林,40.080439,140.141777,1,2
053480092000,下岩川字女達子,40.092089,140.138675,1,2
053480093000,下岩川字小町,40.063725,140.159688,1,2
053480094000,下岩川字小町川向,40.068623,140.147478,1,2
053480095000,下岩川字城ノ森,40.102477,140.117972,1,2
053480096000,下岩川字真木沢,40.090603,140.148240,1,2
053480097000,下岩川字赤川,40.071500,140.163207,1,2
053480098000,下岩川字増沢,40.083225,140.116453,1,2
053480099000,下岩川字増沢下川原,40.086395,140.110652,1,2
053480100000,下岩川字増沢上川原,40.090443,140.113705,1,2
053480101000,下岩川字大台,40.088884,140.109935,1,2
053480102000,下岩川字大沢,40.066961,140.135265,1,2
053480103000,下岩川字大谷,40.069087,140.139256,1,2
053480104000,下岩川字大谷堤下,40.073466,140.143686,1,2
053480105000,下岩川字大鳥越,40.084917,140.158838,1,2
053480106000,下岩川字達子,40.095159,140.127051,1,2
053480107000,下岩川字達子野,40.093675,140.131250,1,2
053480108000,下岩川字谷地ノ沢,40.105258,140.155636,1,2
053480109000,下岩川字谷地ノ沢山根,40.107503,140.147622,1,2
053480110000,下岩川字中ノ沢,40.065788,140.123967,1,2
053480111000,下岩川字中谷地,40.101182,140.131035,1,2
053480112000,下岩川字中野,40.072323,140.146588,1,2
053480113000,下岩川字中野山根,40.070424,140.142173,1,2
053480114000,下岩川字長面,40.085739,140.138698,1,2
053480115000,下岩川字長面向台,40.082347,140.133405,1,2
053480116000,下岩川字長面川向,40.083964,140.138555,1,2
053480117000,下岩川字長面谷地,40.087562,140.139173,1,2
053480118000,下岩川字鳥越,40.085821,140.148828,1,2
053480119000,下岩川字鳥矢場,40.076541,140.142147,1,2
053480120000,下岩川字天神森,40.103276,140.136091,1,2
053480121000,下岩川字添畑,40.093256,140.167806,1,2
053480122000,下岩川字田ノ沢,40.096908,140.151692,1,2
053480123000,下岩川字白鳥,40.082047,140.146097,1,2
053480124000,下岩川字百騎台,40.077552,140.135242,1,2
053480125000,下岩川字蛭沢,40.076455,140.122323,1,2
053480126000,下岩川字蛭沢尻,40.086788,140.132628,1,2
053480127000,下岩川字蛭沢堤下,40.084596,140.127866,1,2
053480128000,下岩川字不動田,40.089983,140.137738,1,2
053480129000,外岡字羽立,40.124739,140.040170,1,2
053480130000,外岡字羽立東,40.126020,140.042770,1,2
053480131000,外岡字外岡南,40.130310,140.052973,1,2
053480132000,外岡字外岡北,40.135509,140.053693,1,2
053480133000,外岡字丸内,40.136437,140.061771,1,2
053480134000,外岡字逆川,40.149165,140.044957,1,2
053480135000,外岡字窪ノ沢,40.129943,140.047122,1,2
053480136000,外岡字黒瀬,40.142385,140.048335,1,2
053480137000,外岡字根岸道下,40.136899,140.048394,1,2
053480138000,外岡字志戸橋境,40.137454,140.067050,1,2
053480139000,外岡字乗越,40.128380,140.067811,1,2
053480140000,外岡字石ケ沢,40.132113,140.060705,1,2
053480141000,外岡字石持,40.132962,140.070799,1,2
053480142000,外岡字大首崎,40.134755,140.069010,1,2
053480143000,外岡字大谷地,40.116233,140.041239,1,2
053480144000,外岡字大坪,40.121641,140.040422,1,2
053480145000,外岡字大堤沢,40.119612,140.045834,1,2
053480146000,外岡字中嶋,40.139989,140.056625,1,2
053480147000,外岡字長者屋布,40.133132,140.047254,1,2
053480148000,外岡字長峰台,40.129205,140.059583,1,2
053480149000,外岡字長峰沢,40.123900,140.060798,1,2
053480150000,外岡字鳥屋下,40.135477,140.044226,1,2
053480151000,外岡字田中,40.135353,140.036687,1,2
053480152000,外岡字渡道,40.143548,140.041291,1,2
053480153000,外岡字内岡,40.128210,140.052368,1,2
053480154000,外岡字八沢,40.130368,140.035625,1,2
053480155000,外岡字柳田,40.133867,140.061284,1,2
