大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
473240001000,字親志,26.414773,127.772030,1,1
473240002000,字牧原,26.373887,127.761278,1,1
473240003000,字長田,26.388931,127.767107,1,1
473240004000,字喜名,26.405143,127.775667,1,1
473240005000,字座喜味,26.402721,127.743075,1,1
473240006000,字伊良皆,26.384094,127.753295,1,1
473240007000,字上地,26.403820,127.736814,1,1
473240008000,字波平,26.400952,127.725442,1,1
473240009000,字都屋,26.391577,127.724635,1,1
473240010000,字高志保,26.409575,127.726954,1,1
473240011000,字長浜,26.420674,127.738818,1,1
473240012000,字宇座,26.426592,127.719886,1,1
473240013000,字瀬名波,26.425843,127.728352,1,1
473240014000,字渡慶次,26.419297,127.725801,1,1
473240015000,字儀間,26.419454,127.721197,1,1
473240016000,字楚辺,26.386721,127.730169,1,1
473240017000,字大木,26.382332,127.746050,1,1
473240018000,字大湾,26.374793,127.749267,1,1
473240019000,字古堅,26.369319,127.747381,1,1
473240020000,字渡具知,26.370207,127.737422,1,1
473240021000,字比謝,26.375938,127.754416,1,1
473240022000,字比謝矼,26.370355,127.755730,1,1
