大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
472050001001,野嵩１丁目,26.282225,127.780582,1,3
472050001002,野嵩２丁目,26.284897,127.778123,1,3
472050001003,野嵩３丁目,26.287630,127.783094,1,3
472050001004,野嵩４丁目,26.291321,127.782351,1,3
472050002001,普天間１丁目,26.292171,127.778989,1,3
472050002002,普天間２丁目,26.289314,127.775754,1,3
472050003001,新城１丁目,26.288349,127.772154,1,3
472050003002,新城２丁目,26.286587,127.769251,1,3
472050004001,喜友名１丁目,26.285419,127.764494,1,3
472050004002,喜友名２丁目,26.284829,127.760552,1,3
472050005001,伊佐１丁目,26.284951,127.756480,1,3
472050005002,伊佐２丁目,26.287556,127.754543,1,3
472050005003,伊佐３丁目,26.292801,127.756894,1,3
472050005004,伊佐４丁目,26.289850,127.752513,1,3
472050006001,大山１丁目,26.280704,127.750419,1,3
472050006002,大山２丁目,26.275604,127.743226,1,3
472050006003,大山３丁目,26.284315,127.752081,1,3
472050006004,大山４丁目,26.281604,127.749102,1,3
472050006005,大山５丁目,26.279963,127.746520,1,3
472050006006,大山６丁目,26.279280,127.739902,1,3
472050006007,大山７丁目,26.288036,127.747010,1,3
472050007000,字真志喜,26.273152,127.738133,1,1
472050008001,真志喜１丁目,26.271141,127.739847,1,3
472050008002,真志喜２丁目,26.275502,127.736675,1,3
472050008003,真志喜３丁目,26.274098,127.734556,1,3
472050008004,真志喜４丁目,26.280636,127.733485,1,3
472050009000,字宇地泊,26.269965,127.728839,1,1
472050010000,字大謝名,26.266224,127.737316,1,1
472050011001,大謝名１丁目,26.267847,127.735676,1,3
472050011002,大謝名２丁目,26.265603,127.738955,1,3
472050011003,大謝名３丁目,26.263267,127.736995,1,3
472050011004,大謝名４丁目,26.264701,127.734389,1,3
472050011005,大謝名５丁目,26.267690,127.732579,1,3
472050012001,嘉数１丁目,26.259910,127.734434,1,3
472050012002,嘉数２丁目,26.255256,127.736117,1,3
472050012003,嘉数３丁目,26.257358,127.733313,1,3
472050012004,嘉数４丁目,26.261622,127.731511,1,3
472050013000,字真栄原,26.259472,127.742463,1,1
472050014001,真栄原１丁目,26.258431,127.744454,1,3
472050014002,真栄原２丁目,26.260627,127.739858,1,3
472050014003,真栄原３丁目,26.263017,127.744128,1,3
472050015000,字佐真下,26.265118,127.748577,1,1
472050016000,字我如古,26.256034,127.751524,1,1
472050017001,我如古１丁目,26.258010,127.752099,1,3
472050017002,我如古２丁目,26.253606,127.758817,1,3
472050017003,我如古３丁目,26.254687,127.752717,1,3
472050017004,我如古４丁目,26.254610,127.749081,1,3
472050018001,志真志１丁目,26.257421,127.763519,1,3
472050018002,志真志２丁目,26.256039,127.766697,1,3
472050018003,志真志３丁目,26.255529,127.761049,1,3
472050018004,志真志４丁目,26.256894,127.757743,1,3
472050019000,字長田,26.261732,127.766528,1,1
472050020001,長田１丁目,26.263182,127.763251,1,3
472050020002,長田２丁目,26.263825,127.767449,1,3
472050020003,長田３丁目,26.260195,127.766139,1,3
472050020004,長田４丁目,26.260520,127.760932,1,3
472050021001,宜野湾１丁目,26.265763,127.759846,1,3
472050021002,宜野湾２丁目,26.264022,127.756767,1,3
472050021003,宜野湾３丁目,26.260506,127.756023,1,3
472050022000,字神山,26.272956,127.761608,1,1
472050023000,字愛知,26.267314,127.767252,1,1
472050024000,字赤道,26.275337,127.766774,1,1
472050025001,赤道１丁目,26.273475,127.769786,1,3
472050025002,赤道２丁目,26.271693,127.772171,1,3
472050026001,上原１丁目,26.276681,127.775245,1,3
472050026002,上原２丁目,26.275906,127.777228,1,3
472050027000,字中原,26.277979,127.765108,1,1
