大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
282240001000,阿那賀志知川,34.294856,134.662041,3,1
282240002000,阿那賀西路,34.311701,134.671482,3,1
282240003000,市青木,34.282800,134.775720,3,1
282240004000,市市,34.292379,134.766753,3,1
282240005000,市円行寺,34.287380,134.779344,3,1
282240006000,市小井,34.290943,134.776392,3,1
282240007000,市三條,34.289736,134.759564,3,1
282240008000,市新,34.293642,134.756030,3,1
282240009000,市十一ケ所,34.297579,134.763689,3,1
282240010000,市善光寺,34.294697,134.770167,3,1
282240011000,市徳長,34.299063,134.757395,3,1
282240012000,市福永,34.285185,134.773292,3,1
282240013000,榎列大榎列,34.308632,134.765417,3,1
282240014000,榎列小榎列,34.302436,134.765687,3,1
282240015000,榎列下幡多,34.309427,134.773550,3,1
282240016000,榎列西川,34.299215,134.768577,3,1
282240017000,榎列松田,34.314925,134.767812,3,1
282240018000,榎列山所,34.320845,134.779629,3,1
282240019001,潮美台一丁目,34.251816,134.731117,2,3
282240019002,潮美台二丁目,34.253721,134.732945,2,3
282240019003,潮美台三丁目,34.251076,134.733707,3,3
282240020000,志知中島,34.288778,134.746902,3,1
282240021000,志知難波,34.294303,134.747092,3,1
282240022000,志知南,34.303809,134.737450,3,1
282240023000,倭文委文,34.335035,134.778295,3,1
282240024000,倭文高,34.333855,134.770501,3,1
282240025000,倭文流,34.328717,134.776386,3,1
282240026000,神代浦壁,34.273007,134.786330,3,1
282240027000,神代喜来,34.275171,134.769531,3,1
282240028000,神代黒道,34.273285,134.775746,3,1
282240029000,神代國衙,34.273815,134.756285,3,1
282240030000,神代社家,34.273276,134.796620,3,1
282240031000,神代地頭方,34.281819,134.763423,3,1
282240032000,神代富田,34.277515,134.775646,3,1
282240033000,灘来川,34.241165,134.868237,3,1
282240034000,灘白崎,34.235515,134.854292,3,1
282240035000,福良乙,34.261398,134.709577,3,1
282240036000,福良甲,34.254757,134.723089,3,1
282240037000,福良丙,34.253286,134.698469,3,1
282240038000,八木入田,34.309398,134.789158,3,1
282240039000,八木馬回,34.279839,134.808538,3,1
282240040000,八木大久保,34.289476,134.795865,3,1
282240041000,八木国分,34.297528,134.783831,3,1
282240042000,八木新庄,34.301872,134.778156,3,1
282240043000,八木寺内,34.284351,134.785911,3,1
282240044000,八木立石,34.291930,134.786932,3,1
282240045000,八木徳野,34.303112,134.788385,3,1
282240046000,八木鳥井,34.295745,134.792062,3,1
282240047000,八木野原,34.302396,134.783814,3,1
282240048000,八木養宜上,34.300767,134.800366,3,1
282240049000,八木養宜中,34.305698,134.793285,3,1
282240050000,阿那賀,34.286930,134.663538,2,1
282240051000,阿万上町,34.224769,134.740664,2,1
282240052000,阿万塩屋町,34.225035,134.727990,2,1
282240053000,阿万下町,34.222089,134.737259,2,1
282240054000,阿万西町,34.210226,134.729049,2,1
282240055000,阿万東町,34.209283,134.736331,2,1
282240056000,阿万吹上町,34.221269,134.715659,2,1
282240057000,伊加利,34.284608,134.687534,2,1
282240058000,榎列上幡多,34.313345,134.780683,2,1
282240059000,榎列掃守,34.321686,134.769625,2,1
282240060000,賀集,34.264899,134.749427,2,1
282240061000,賀集牛内,34.258486,134.779354,2,1
282240062000,賀集内ケ原,34.255707,134.770620,2,1
282240063000,賀集鍛治屋,34.259356,134.747976,2,1
282240064000,賀集生子,34.250888,134.769174,2,1
282240065000,賀集立川瀬,34.273807,134.747713,2,1
282240066000,賀集長原,34.254164,134.778502,2,1
282240067000,賀集野田,34.266336,134.754654,2,1
282240068000,賀集福井,34.259643,134.754136,2,1
282240069000,賀集八幡,34.269418,134.745690,2,1
282240070000,賀集八幡北,34.280573,134.739767,2,1
282240071000,賀集八幡中,34.276922,134.741287,2,1
282240072000,賀集八幡南,34.273019,134.740199,2,1
282240073000,北阿万伊賀野,34.239052,134.746819,2,1
282240074000,北阿万稲田南,34.241515,134.759485,2,1
282240075000,北阿万新田北,34.249124,134.760794,2,1
282240076000,北阿万新田中,34.247460,134.757317,2,1
282240077000,北阿万筒井,34.249351,134.749146,2,1
282240078000,志知,34.304611,134.746083,2,1
282240080000,志知北,34.308159,134.738077,2,1
282240081000,志知口,34.294785,134.728333,2,1
282240082000,志知佐礼尾,34.297528,134.741678,2,1
282240083000,志知鈩,34.299408,134.741398,2,1
282240084000,志知飯山寺,34.297637,134.733174,2,1
282240085000,志知松本,34.300290,134.745032,2,1
282240086000,倭文安住寺,34.346698,134.799168,2,1
282240087000,倭文庄田,34.333847,134.788856,2,1
282240088000,倭文神道,34.339856,134.778345,2,1
282240089000,倭文土井,34.337201,134.805708,2,1
282240090000,倭文長田,34.326308,134.796522,2,1
282240091000,中条中筋,34.306221,134.830197,2,1
282240092000,中条徳原,34.304790,134.819746,2,1
282240093000,中条広田,34.311387,134.819307,2,1
282240094000,津井,34.317299,134.684532,2,1
282240095000,灘円実,34.201312,134.798978,2,1
282240096000,灘黒岩,34.223804,134.829228,2,1
282240097000,灘城方,34.208577,134.809924,2,1
282240098000,灘惣川,34.217956,134.823922,2,1
282240099000,灘地野,34.200353,134.760121,2,1
282240100000,灘仁頃,34.194994,134.748328,2,1
282240101000,灘土生,34.202130,134.778514,2,1
282240102000,灘払川,34.207498,134.797313,2,1
282240103000,灘山本,34.211681,134.815370,2,1
282240104000,灘油谷,34.205595,134.802241,2,1
282240105000,灘吉野,34.216506,134.822772,2,1
282240106000,沼島,34.168449,134.820214,2,1
282240107000,広田中筋,34.321484,134.834149,2,1
282240108000,広田広田,34.327266,134.830212,2,1
282240109000,福良,34.257422,134.711251,2,1
282240110000,松帆櫟田,34.336347,134.751022,2,1
282240111000,松帆江尻,34.327717,134.745454,2,1
282240112000,松帆戒旦寺,34.320891,134.764046,2,1
282240113000,松帆北方,34.331027,134.750810,2,1
282240114000,松帆北浜,34.333662,134.744481,2,1
282240115000,松帆慶野,34.343512,134.742271,2,1
282240116000,松帆古津路,34.333088,134.737561,2,1
282240117000,松帆塩浜,34.327509,134.749398,2,1
282240118000,松帆志知川,34.318310,134.746899,2,1
282240119000,松帆西路,34.317062,134.743584,2,1
282240120000,松帆宝明寺,34.347125,134.771595,2,1
282240121000,松帆脇田,34.323628,134.754192,2,1
282240122000,湊,34.326959,134.729421,2,1
282240123000,湊里,34.325123,134.730040,2,1
282240124000,山添,34.332700,134.836601,2,1
282240125000,松帆高屋乙,34.325565,134.746969,2,1
282240126000,松帆高屋甲,34.322669,134.762477,2,1
282240127000,志知奥,34.289234,134.718716,0,0
282240128000,桜花の郷,34.281503,134.707053,0,0
