大字町丁目コード,大字町丁目名,緯度,経度,原典資料,区分
022040001000,大字あけぼの町,40.656753,140.608843,1,1
022040002000,大字ぐみの木一丁目,40.648039,140.595284,1,1
022040003000,大字ぐみの木三丁目,40.650859,140.594747,1,1
022040004000,大字ぐみの木二丁目,40.650476,140.597659,1,1
022040005000,大字ぐみの木北,40.665572,140.582862,1,1
022040006000,大字ちとせ一丁目,40.638026,140.595280,1,1
022040007000,大字ちとせ三丁目,40.636960,140.599745,1,1
022040008000,大字ちとせ二丁目,40.639328,140.597148,1,1
022040009000,大字旭町,40.647491,140.600416,1,1
022040010000,大字一番町,40.648657,140.593370,1,1
022040011000,大字浦町一丁目,40.642670,140.596205,1,1
022040012000,大字浦町二丁目,40.645588,140.598033,1,1
022040013000,大字横町,40.644463,140.594998,1,1
022040014000,大字沖浦字一ノ渡村下,40.563839,140.690131,1,2
022040015000,大字沖浦字一ノ渡村上,40.559566,140.688601,1,2
022040016000,大字沖浦字沖浦村下,40.574767,140.685791,1,2
022040017000,大字沖浦字沖浦村上,40.573128,140.686127,1,2
022040018000,大字沖浦字釜萢,40.574331,140.689428,1,2
022040019000,大字沖浦字権現平,40.554132,140.712419,1,2
022040020000,大字沖浦字狐森,40.570795,140.697689,1,2
022040021000,大字沖浦字股ノ木沢,40.553405,140.700877,1,2
022040022000,大字沖浦字根田ノ沢,40.551149,140.697714,1,2
022040023000,大字沖浦字山神,40.579605,140.687692,1,2
022040024000,大字沖浦字松平,40.548149,140.708921,1,2
022040025000,大字沖浦字上ノ平,40.575237,140.690541,1,2
022040026000,大字沖浦字水上沢,40.571603,140.689811,1,2
022040027000,大字沖浦字青荷沢,40.538553,140.740649,1,2
022040028000,大字沖浦字青荷沢滝ノ上,40.565038,140.718235,1,2
022040029000,大字沖浦字石戸,40.557789,140.691006,1,2
022040030000,大字沖浦字大巻前,40.541006,140.724693,1,2
022040031000,大字沖浦字大坂,40.572064,140.684322,1,2
022040032000,大字沖浦字大坂陰,40.568750,140.688861,1,2
022040033000,大字沖浦字大川添,40.560477,140.688161,1,2
022040034000,大字沖浦字大渕,40.567752,140.686577,1,2
022040035000,大字沖浦字沢頭,40.571414,140.685773,1,2
022040036000,大字沖浦字長沢出口,40.563430,140.694111,1,2
022040037000,大字沖浦字登倉,40.578869,140.685398,1,2
022040038000,大字沖浦字木戸沢,40.564911,140.709231,1,2
